row_label_raw,row_label_full,Được phân loại là tài sản tài chínhđược xác định theo giá trị hợp lýthông qua báo cáo kết quả hoạt độngkinh doanh- Các công cụ tài chính phải sinh vàcác tài sản tài chính khác > Được phân loại là các khoản đầu tưnấm giữ đến ngày đáo hạn:- Trái phiếu Chính phủ có giá niêmyết,31/12/2015 > Giá trị ghi số Triệu VND > 30.797 > -,31/12/2015 > Giá trị hợp lý Triệu VND > (*) > -,31/12/2014 > Giá trị ghi số Triệu VND > 13.435 > 254.000,31/12/2014 > Giá trị hợp lý Triệu VND > (*) > 260.913,numeric__31/12/2015 > Giá trị ghi số Triệu VND > 30.797 > -,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > (*) > -,numeric__31/12/2014 > Giá trị ghi số Triệu VND > 13.435 > 254.000,numeric__31/12/2014 > Giá trị hợp lý Triệu VND > (*) > 260.913
- Trái phiếu Chính phủ không có giàniêm yết,- Trái phiếu Chính phủ không có giàniêm yết,- Trái phiếu Chính phủ không có giàniêm yết,150.042,(*),854.894,(*),150042.0,,854894.0,
- Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,- Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,- Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,15.010.858,(*),15.180.950,(*),15010858.0,,15180950.0,
Được phân loại là các khoản cho vayvà phải thu:- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,Được phân loại là các khoản cho vayvà phải thu:- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,Được phân loại là các khoản cho vayvà phải thu:- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,2.716.264,2.716.264,3.214.967,3.214.967,2716264.0,2716264.0,3214967.0,3214967.0
- Tiền gửi và cho vay các tổ chứctín dụng khác,- Tiền gửi và cho vay các tổ chứctín dụng khác,- Tiền gửi và cho vay các tổ chứctín dụng khác,7.833.274,(*),39.463.116,(*),7833274.0,,39463116.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,83.889.887,(*),86.123.843,(*),83889887.0,,86123843.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,636.469,(*),651.557,(*),636469.0,,651557.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",992.429,(*),1.407.385,(*),992429.0,,1407385.0,
Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,-,-,413.679,429.771,,,413679.0,429771.0
- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,34.199,34.199,-,-,34199.0,34199.0,,
- Trái phiếu Chính phủ không có giàniêm yết,- Trái phiếu Chính phủ không có giàniêm yết,- Trái phiếu Chính phủ không có giàniêm yết,3.922.512,(*),1.934.700,(*),3922512.0,,1934700.0,
- Chứng khoán đầu tư sẵn sàng để bánkhác,- Chứng khoán đầu tư sẵn sàng để bánkhác,- Chứng khoán đầu tư sẵn sàng để bánkhác,1.992,(*),1.285.270,(*),1992.0,,1285270.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",2.824.834,(*),2.883.284,(*),2824834.0,,2883284.0,
