row_label_raw,row_label_full,col_0,31/12/2015Triệu VND,31/12/2014Triệu VNDĐã điều chỉnh lại,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VNDĐã điều chỉnh lại
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,,
▪ Các khoản phải trả nhân viên,Các khoản phải trả nội bộ > ▪ Các khoản phải trả nhân viên,▪ Các khoản phải trả nhân viên,5.007,2.915,5007.0,2915.0
▪ Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ > ▪ Các khoản phải trả nội bộ khác,▪ Các khoản phải trả nội bộ khác,4.659,2.572,4659.0,2572.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,,
▪ Phải trả công ty con (Thuyết minh số 40),Các khoản phải trả bên ngoài > ▪ Phải trả công ty con (Thuyết minh số 40),▪ Phải trả công ty con (Thuyết minh số 40),806.930,806.930,806930.0,806930.0
▪ Các khoản phải trả trong nghiệp vụ L/C,Các khoản phải trả bên ngoài > ▪ Các khoản phải trả trong nghiệp vụ L/C,▪ Các khoản phải trả trong nghiệp vụ L/C,114.878,109.549,114878.0,109549.0
▪ Các khoản phải trả NHNNVN trong cho vay hỗ trợ lãi suất,Các khoản phải trả bên ngoài > ▪ Các khoản phải trả NHNNVN trong cho vay hỗ trợ lãi suất,▪ Các khoản phải trả NHNNVN trong cho vay hỗ trợ lãi suất,29.841,29.686,29841.0,29686.0
▪ Các khoản phải trả trong dịch vụ thanh toán thẻ,Các khoản phải trả bên ngoài > ▪ Các khoản phải trả trong dịch vụ thanh toán thẻ,▪ Các khoản phải trả trong dịch vụ thanh toán thẻ,29.374,25.172,29374.0,25172.0
▪ Các khoản thuế phải nộp (Thuyết minh số 20),Các khoản phải trả bên ngoài > ▪ Các khoản thuế phải nộp (Thuyết minh số 20),▪ Các khoản thuế phải nộp (Thuyết minh số 20),15.676,12.402,15676.0,12402.0
▪ Các khoản phải trả trong nghiệp vụ xử lý nợ,Các khoản phải trả bên ngoài > ▪ Các khoản phải trả trong nghiệp vụ xử lý nợ,▪ Các khoản phải trả trong nghiệp vụ xử lý nợ,13.666,13.018,13666.0,13018.0
▪ Chuyển tiền phải trả,Các khoản phải trả bên ngoài > ▪ Chuyển tiền phải trả,▪ Chuyển tiền phải trả,11.572,22.728,11572.0,22728.0
▪ Cổ tức phải trả,Các khoản phải trả bên ngoài > ▪ Cổ tức phải trả,▪ Cổ tức phải trả,2.556,2.645,2556.0,2645.0
▪ Doanh thu chờ phân bổ,Các khoản phải trả bên ngoài > ▪ Doanh thu chờ phân bổ,▪ Doanh thu chờ phân bổ,-,9.582,,9582.0
▪ Phải trả khác,Các khoản phải trả bên ngoài > ▪ Phải trả khác,▪ Phải trả khác,29.470,62.454,29470.0,62454.0
Quỹ khen thưởng và phúc lợi (i),Các khoản phải trả bên ngoài > Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),23.550,32.452,23550.0,32452.0
,,,1.087.179,1.132.105,1087179.0,1132105.0
