row_label_raw,row_label_full,col_0,2014(đã phân loại lại)Triệu VND,2014(theo báo cáo trước đây)Triệu VND,numeric__2014(đã phân loại lại)Triệu VND,numeric__2014(theo báo cáo trước đây)Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,8.681.711,8.564.183,8681711.0,8564183.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,440.124,557.652,440124.0,557652.0
Chỉ phí hoạt động khác,Chỉ phí hoạt động khác,Chỉ phí hoạt động khác,(421.058),(421.034),-421058.0,-421034.0
Chỉ phí hoạt động,Chỉ phí hoạt động,Chỉ phí hoạt động,(2.038.579),(2.038.603),-2038579.0,-2038603.0
