row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,Thặng dưvốn cổphầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ khenthường vàphúc lợiTriệu VND,Quỹ dự trữbỗ sungvốn điều lệTriệu VND,Quỹ dựphòng tàichínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lỗ lũy kéTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,numeric__Thặng dưvốn cổphầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ khenthường vàphúc lợiTriệu VND,numeric__Quỹ dự trữbỗ sungvốn điều lệTriệu VND,numeric__Quỹ dựphòng tàichínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lỗ lũy kéTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày1 tháng 1 năm 2014 (đã điều chỉnh lại – Thuyết minh số 40),Số dư tại ngày1 tháng 1 năm 2014 (đã điều chỉnh lại – Thuyết minh số 40),Số dư tại ngày1 tháng 1 năm 2014 (đã điều chỉnh lại – Thuyết minh số 40),12.355.229,15.396,156.322,-,29.032,511.306,983.806,326,(622.328),13.429.089,12355229.0,15396.0,156322.0,,29032.0,511306.0,983806.0,326.0,-622328.0,13429089.0
Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,-,-,-,-,-,-,-,-,331.891,331.891,,,,,,,,,331891.0,331891.0
Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,Lợi nhuận thuần trong nămTrích bổ sung các quỹ cho năm trước,-,-,-,-,68.126,294,588,-,(69.008),-,,,,,68126.0,294.0,588.0,,-69008.0,
Trích các quỹ cho năm nay,Trích các quỹ cho năm nay,Trích các quỹ cho năm nay,-,-,-,-,-,2.353,4.706,-,(7.059),-,,,,,,2353.0,4706.0,,-7059.0,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(78.273),-,-,-,-,-,(78.273),,,,-78273.0,,,,,,-78273.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(491.773),(491.773),,,,,,,,,-491773.0,-491773.0
Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),-,-,-,-,(46.411),-,-,-,-,(46.411),,,,,-46411.0,,,,,-46411.0
Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),Sử dụng quỹ trong nămChuyển sang các khoản phải trả(*),-,-,-,-,(50.747),-,-,-,-,(50.747),,,,,-50747.0,,,,,-50747.0
Số dư tại ngày1 tháng 1 năm 2015 (đã điều chỉnh lại – Thuyết minh số 40),Số dư tại ngày1 tháng 1 năm 2015 (đã điều chỉnh lại – Thuyết minh số 40),Số dư tại ngày1 tháng 1 năm 2015 (đã điều chỉnh lại – Thuyết minh số 40),12.355.229,15.396,156.322,(78.273),-,513.953,989.100,326,(858.277),13.093.776,12355229.0,15396.0,156322.0,-78273.0,,513953.0,989100.0,326.0,-858277.0,13093776.0
Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,-,-,-,-,-,-,-,-,44.669,44.669,,,,,,,,,44669.0,44669.0
Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,Lợi nhuận thuần trong nămĐiều chỉnh cho các quỹ cho năm trước,-,-,-,-,-,(32),(65),-,97,-,,,,,,-32.0,-65.0,,97.0,
Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,-,-,-,-,-,2.233,4.467,-,(6.700),-,,,,,,2233.0,4467.0,,-6700.0,
Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,Trích lập các quỹ trong năm nayTrích lập quỹ khen thưởng vàphúc lợi,-,-,-,-,-,-,-,-,(15.000),(15.000),,,,,,,,,-15000.0,-15000.0
Số dư tại ngày31 tháng 12 năm 2015,Số dư tại ngày31 tháng 12 năm 2015,Số dư tại ngày31 tháng 12 năm 2015,12.355.229,15.396,156.322,(78.273),-,516.154,993.502,326,(835.211),13.123.445,12355229.0,15396.0,156322.0,-78273.0,,516154.0,993502.0,326.0,-835211.0,13123445.0
