row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015Triệu VND,31/12/2014Triệu VNDĐã điều chỉnh lại,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VNDĐã điều chỉnh lại
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,544.945,6.613,,15.0,544945.0,6613.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,7.933.317,41.043.340,,16.0,7933317.0,41043340.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,7.103.777,29.554.266,,,7103777.0,29554266.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,829.540,11.489.074,,,829540.0,11489074.0
III,B > III,III,Tiền gửi của khách hàng,17,98.525.233,101.471.428,,17.0,98525233.0,101471428.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,3.000.392,3.008.378,,18.0,3000392.0,3008378.0
VII,B > VII,VII,Các khoản nợ khác,,2.597.761,2.396.599,,,2597761.0,2396599.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.510.582,1.264.494,,,1510582.0,1264494.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,1.087.179,1.132.105,,19.0,1087179.0,1132105.0
,,,TỔNG NỘ PHẢI TRẢ,,112.601.648,147.926.358,,,112601648.0,147926358.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,21,13.123.445,13.093.776,,21.0,13123445.0,13093776.0
1,B > 1,1,Vốn,,12.448.674,12.448.674,,,12448674.0,12448674.0
a,B > a,a,Vốn điều lệ,,12.355.229,12.355.229,,,12355229.0,12355229.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cố phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Các quỹ,,1.509.982,1.503.379,,,1509982.0,1503379.0
5,B > 5,5,Lỗ lũy kế,,(835.211),(858.277),,,-835211.0,-858277.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,13.123.445,13.093.776,,,13123445.0,13093776.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,125.725.093,161.020.134,,,125725093.0,161020134.0
