row_label_raw,row_label_full,2015,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản có định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản có định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Nguyên giá > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),436.397,567.711,230.677,41.485,523.126,1.799.396,436397.0,567711.0,230677.0,41485.0,523126.0,1799396.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,191.196,30.482,4.003,2.240,35.186,263.107,191196.0,30482.0,4003.0,2240.0,35186.0,263107.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,625,-,(225),(400),-,,625.0,,-225.0,-400.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(22.378),(819),(3.047),(551),(2.838),(29.633),-22378.0,-819.0,-3047.0,-551.0,-2838.0,-29633.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,605.215,597.999,231.633,42.949,555.074,2.032.870,605215.0,597999.0,231633.0,42949.0,555074.0,2032870.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị hao mòn lũy kế > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),21.076,295.788,135.969,28.285,288.792,769.910,21076.0,295788.0,135969.0,28285.0,288792.0,769910.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.204,62.494,30.241,4.866,59.302,165.107,8204.0,62494.0,30241.0,4866.0,59302.0,165107.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,220,-,(152),(68),-,,220.0,,-152.0,-68.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(978),(744),(2.941),(493),(1.702),(6.858),-978.0,-744.0,-2941.0,-493.0,-1702.0,-6858.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.302,357.758,163.269,32.506,346.324,928.159,28302.0,357758.0,163269.0,32506.0,346324.0,928159.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị còn lại > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),415.321,271.923,94.708,13.200,234.334,1.029.486,415321.0,271923.0,94708.0,13200.0,234334.0,1029486.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,576.913,240.241,68.364,10.443,208.750,1.104.711,576913.0,240241.0,68364.0,10443.0,208750.0,1104711.0
