row_label_raw,row_label_full,2014,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Nguyên giá > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),2.467.458,128.100,2.595.558,2467458.0,128100.0,2595558.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,825.750,4.395,830.145,825750.0,4395.0,830145.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(118.978),-,(118.978),-118978.0,,-118978.0
Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),Nguyên giá > Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),3.174.230,132.495,3.306.725,3174230.0,132495.0,3306725.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,70.685,70.685,,70685.0,70685.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,11.852,11.852,,11852.0,11852.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,82.537,82.537,,82537.0,82537.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị còn lại > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),2.465.415,57.415,2.522.830,2465415.0,57415.0,2522830.0
Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị còn lại > Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư cuối năm (đã điều chỉnh lại – Thuyết minh số 40),3.174.230,49.958,3.224.188,3174230.0,49958.0,3224188.0
