row_label_raw,row_label_full,2014,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Nguyên giá > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),255.562,479.009,207.123,42.152,481.507,1.465.353,255562.0,479009.0,207123.0,42152.0,481507.0,1465353.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,193.497,88.812,34.158,316,42.734,359.517,193497.0,88812.0,34158.0,316.0,42734.0,359517.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(79),(1.019),(293),1.391,-,,-79.0,-1019.0,-293.0,1391.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(12.662),(31),(9.585),(690),(2.506),(25.474),-12662.0,-31.0,-9585.0,-690.0,-2506.0,-25474.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,436.397,567.711,230.677,41.485,523.126,1.799.396,436397.0,567711.0,230677.0,41485.0,523126.0,1799396.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị hao mòn lũy kế > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),16.108,234.776,106.518,25.684,225.457,608.543,16108.0,234776.0,106518.0,25684.0,225457.0,608543.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.968,61.079,37.069,3.269,62.883,169.268,4968.0,61079.0,37069.0,3269.0,62883.0,169268.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(36),(910),(77),1.023,-,,-36.0,-910.0,-77.0,1023.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(31),(6.708),(591),(571),(7.901),,-31.0,-6708.0,-591.0,-571.0,-7901.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,21.076,295.788,135.969,28.285,288.792,769.910,21076.0,295788.0,135969.0,28285.0,288792.0,769910.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Giá trị còn lại > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 40),231.882,244.233,100.605,16.468,256.050,849.238,231882.0,244233.0,100605.0,16468.0,256050.0,849238.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,415.321,271.923,94.708,13.200,234.334,1.029.486,415321.0,271923.0,94708.0,13200.0,234334.0,1029486.0
