row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VNDĐã phân loại lại,numeric__2015Triệu VND,numeric__2014Triệu VNDĐã phân loại lại
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
■ Thu từ các khoản nợ đã được xử lý trước đây,Thu nhập từ hoạt động khác > ■ Thu từ các khoản nợ đã được xử lý trước đây,■ Thu từ các khoản nợ đã được xử lý trước đây,66.356,29.721,66356.0,29721.0
■ Thu từ thanh lý quyền sử dụng đất và tài sản cố định khác,Thu nhập từ hoạt động khác > ■ Thu từ thanh lý quyền sử dụng đất và tài sản cố định khác,■ Thu từ thanh lý quyền sử dụng đất và tài sản cố định khác,299.006,127.208,299006.0,127208.0
■ Thu nhập khác,Thu nhập từ hoạt động khác > ■ Thu nhập khác,■ Thu nhập khác,10.091,3.449,10091.0,3449.0
,,,375.453,160.378,375453.0,160378.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
■ Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,Chi phí hoạt động khác > ■ Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,■ Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,(288.377),(136.230),-288377.0,-136230.0
■ Chi phí khác,Chi phí hoạt động khác > ■ Chi phí khác,■ Chi phí khác,(1.465),-,-1465.0,
,,,(289.842),(136.230),-289842.0,-136230.0
Lãi/(lỗ) thuần từ hoạt động khác,Chi phí hoạt động khác > Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,85.611,24.148,85611.0,24148.0
