row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Tổng Triệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",321.818,218.917,1.121.297,1.662.032,321818.0,218917.0,1121297.0,1662032.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,22.591,16.857,4.214.226,4.253.674,22591.0,16857.0,4214226.0,4253674.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,16.182.704,8.046.418,130.875.306,155.104.428,16182704.0,8046418.0,130875306.0,155104428.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,(19.483.533),(5.039.817),(121.006.409),(145.529.759),-19483533.0,-5039817.0,-121006409.0,-145529759.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,(190),-,(5.296),(5.486),-190.0,,-5296.0,-5486.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,2.903.567,(3.161.322),(2.133.358),(2.391.113),2903567.0,-3161322.0,-2133358.0,-2391113.0
