row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Dưới 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến 3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 3 đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 6 đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 1 đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Dưới 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến 3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 3 đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 6 đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 1 đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,1.662.032,-,-,-,-,-,-,1.662.032,,1662032.0,,,,,,,1662032.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,1.524.941,1.690.026,-,-,-,-,-,3.214.967,,1524941.0,1690026.0,,,,,,3214967.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,25.323.316,13.689.800,450.000,-,-,-,39.463.116,,,25323316.0,13689800.0,450000.0,,,,39463116.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,13.435,-,-,-,-,-,-,13.435,,13435.0,,,,,,,13435.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.680.042,-,45.523.196,21.488.015,6.730.116,9.996.073,545.277,183.824,87.146.543,2680042.0,,45523196.0,21488015.0,6730116.0,9996073.0,545277.0,183824.0,87146543.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.786.315,1.850.112,-,3.883.166,3.557.777,2.999.496,3.075.000,20.151.866,,4786315.0,1850112.0,,3883166.0,3557777.0,2999496.0,3075000.0,20151866.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,3.053.119,-,-,-,-,-,-,3.053.119,,3053119.0,,,,,,,3053119.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.253.674,-,-,-,-,-,-,4.253.674,,4253674.0,,,,,,,4253674.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,137.115,3.349.280,-,-,-,-,-,-,3.486.395,137115.0,3349280.0,,,,,,,3486395.0
