row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Bắc Triệu VND,Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Trung Triệu VND,Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Nam Triệu VND,Tại ngày 31 tháng 12 năm 2015 > Tổng Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Bắc Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Trung Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Khu vực Miền Nam Triệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Tổng Triệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng","Tải sản > Tiền mặt, vàng","Tiền mặt, vàng",447.887,243.846,1.348.975,2.040.708,447887.0,243846.0,1348975.0,2040708.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,24.638,15.406,4.655.535,4.695.579,24638.0,15406.0,4655535.0,4695579.0
Tải sản khác,Tải sản > Tải sản khác,Tải sản khác,14.822.650,9.672.127,94.494.029,118.988.806,14822650.0,9672127.0,94494029.0,118988806.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,(16.215.129),(5.314.319),(88.474.440),(110.003.888),-16215129.0,-5314319.0,-88474440.0,-110003888.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,(230),-,(9.435),(9.665),-230.0,,-9435.0,-9665.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,(407.264),(170.434),(2.010.397),(2.588.095),-407264.0,-170434.0,-2010397.0,-2588095.0
