row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015) > Tài sảnTriệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015) > Công nợTriệu VND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015) > Tài sảnTriệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2015) > Công nợTriệu VND
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,3.809.583,29.012,-,3809583.0,29012.0,
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,15.942.587,1.785,-,15942587.0,1785.0,
,,,19.752.170,30.797,-,19752170.0,30797.0,
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2014),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2014),,,
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Triệu VND,Tài sảnTriệu VND,Công nợTriệu VND,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,6.155.514,6.482,-,6155514.0,6482.0,
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,9.633.883,6.953,-,9633883.0,6953.0,
,,,15.789.397,13.435,-,15789397.0,13435.0,
