row_label_raw,row_label_full,2015,Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộpTriệu VND,Số ducuối nămTriệu VND,numeric__Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộpTriệu VND,numeric__Số ducuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(129.473),18.643,(19.157),(129.987),-129473.0,18643.0,-19157.0,-129987.0
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,8.496,75.342,(74.529),9.309,8496.0,75342.0,-74529.0,9309.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.906,61.252,(58.791),6.367,3906.0,61252.0,-58791.0,6367.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,3.769,(3.769),-,,3769.0,-3769.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,6.062,(6.062),-,,6062.0,-6062.0,
,,,(117.071),165.068,(162.308),(114.311),-117071.0,165068.0,-162308.0,-114311.0
2014,2014,2014,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số ducuối nămTriệu VND,,,,
2014,2014,2014,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số ducuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,2014 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(35.317),10.248,(104.404),(129.473),-35317.0,10248.0,-104404.0,-129473.0
Thuế giá trị gia tăng phải trả,2014 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,5.374,48.793,(45.671),8.496,5374.0,48793.0,-45671.0,8496.0
Thuế thu nhập cá nhân,2014 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.440,68.864,(77.398),3.906,12440.0,68864.0,-77398.0,3906.0
Thuế nhà thầu nước ngoài,2014 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,8.685,(8.685),-,,8685.0,-8685.0,
Các loại thuế khác,2014 > Các loại thuế khác,Các loại thuế khác,-,4.431,(4.431),-,,4431.0,-4431.0,
,,,(17.503),141.021,(240.589),(117.071),-17503.0,141021.0,-240589.0,-117071.0
