row_label_raw,row_label_full,col_0,2014(dã phân loại lại)Triệu VND,2014(theo báo cáo trước đây)Triệu VND,numeric__2014(dã phân loại lại)Triệu VND,numeric__2014(theo báo cáo trước đây)Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,9.193.627,9.076.099,9193627.0,9076099.0
Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,214.388,331.916,214388.0,331916.0
Thu nhập khác nhận được,Thu nhập khác nhận được,Thu nhập khác nhận được,3.771,3.795,3771.0,3795.0
Tiền chỉ trả cho nhân viên và hoạt động quản lý,Tiền chỉ trả cho nhân viên và hoạt động quản lý,Tiền chỉ trả cho nhân viên và hoạt động quản lý,(1.814.773),(1.814.797),-1814773.0,-1814797.0
