row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015 > Quá hạn,Tại ngày 31 tháng 12 năm 2015 > Không kỳ hạn,Tại ngày 31 tháng 12 năm 2015 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2015 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2015 > Quá hạn,numeric__Tại ngày 31 tháng 12 năm 2015 > Không kỳ hạn,numeric__Tại ngày 31 tháng 12 năm 2015 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2015 > Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"0,60%",-,-,-,-,-,-,,0.006,,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,03%",-,-,-,-,-,-,,0.0003,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,"0,00%","0,33%","5,12%",-,-,-,-,-,0.0,0.0033,0.0512,,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,11%","0,11%","1,00%",-,-,-,-,,0.0011,0.0011,0.01,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"10,30%",-,"9,12%","8,91%","9,20%","9,24%","8,83%","8,34%",0.10300000000000001,,0.09119999999999999,0.0891,0.092,0.0924,0.0883,0.0834
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"6,61%",-,"4,61%","3,63%","3,54%","3,04%","5,22%",-,0.0661,,0.0461,0.0363,0.0354,0.0304,0.052199999999999996,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,-,-,"10,03%",-,"10,90%","8,96%","7,70%","8,70%",,,0.1003,,0.109,0.08960000000000001,0.077,0.087
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,,,,,,,,,,,,,,,,
▪ VND,Các khoản nợ NHNNVN > ▪ VND,▪ VND,-,-,"5,00%",-,"3,50%","3,50%",-,-,,,0.05,,0.035,0.035,,
▪ Ngoại tệ,Các khoản nợ NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,-,-,"2,33%",-,-,-,,,,,0.0233,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"0,33%","5,00%","4,80%",-,-,-,-,,0.0033,0.05,0.048,,,,
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,01%","0,65%","1,57%",-,-,-,-,,0.0001,0.006500000000000001,0.015700000000000002,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,-,"0,30%","4,98%","6,00%","6,28%","6,17%","6,82%","5,90%",,0.003,0.049800000000000004,0.06,0.06280000000000001,0.0617,0.0682,0.059000000000000004
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,10%","0,18%","0,28%","0,33%","0,41%","0,24%",-,,0.001,0.0018,0.0028000000000000004,0.0033,0.0040999999999999995,0.0024,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,-,-,"3,01%",-,-,-,-,"12,50%",,,0.0301,,,,,0.125
