row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,numeric__Từ 10 đến90 ngàyTriệu VND,numeric__Từ 91 đến180 ngàyTriệu VND,numeric__Quá hạnTừ 181 đến360 ngàyTriệu VND,numeric__Trên360 ngàyTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,-,95.000,95.000,,,,95000.0,95000.0
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,393.088,160.565,564.981,395.485,1.514.119,393088.0,160565.0,564981.0,395485.0,1514119.0
Tài sản có khác – gộp,Các khoản cho vay và phải thu > Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,-,93.365,93.365,,,,93365.0,93365.0
,,,393.088,160.565,564.981,583.850,1.702.484,393088.0,160565.0,564981.0,583850.0,1702484.0
Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,,,,,
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,435.555,204.813,492.300,576.074,1.708.742,435555.0,204813.0,492300.0,576074.0,1708742.0
Tài sản có khác – gộp,Các khoản cho vay và phải thu > Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,-,137.115,137.115,,,,137115.0,137115.0
,,,435.555,204.813,492.300,713.189,1.845.857,435555.0,204813.0,492300.0,713189.0,1845857.0
