row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2015 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2015 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2015 > TổngTriệu VND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.273.272,18.539.252,52.672.194,15.485.572,14.469.146,15.070.754,9.254.940,142.371,127.907.501,2273272.0,18539252.0,52672194.0,15485572.0,14469146.0,15070754.0,9254940.0,142371.0,127907501.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,518.720,-,2.907,23.318,-,-,544.945,,,518720.0,,2907.0,23318.0,,,544945.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,7.552.017,381.300,-,-,-,-,7.933.317,,,7552017.0,381300.0,,,,,7933317.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,50.274.794,18.992.379,12.101.409,8.902.382,8.253.717,552,98.525.233,,,50274794.0,18992379.0,12101409.0,8902382.0,8253717.0,552.0,98525233.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,392,-,-,-,-,3.000.000,3.000.392,,,392.0,,,,,3000000.0,3000392.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.597.761,-,-,-,-,-,-,2.597.761,,2597761.0,,,,,,,2597761.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,2.597.761,58.345.923,19.373.679,12.104.316,8.925.700,8.253.717,3.000.552,112.601.648,,2597761.0,58345923.0,19373679.0,12104316.0,8925700.0,8253717.0,3000552.0,112601648.0
Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],2.273.272,15.941.491,(5.673.729),(3.888.107),2.364.830,6.145.054,1.001.223,(2.858.181),15.305.853,2273272.0,15941491.0,-5673729.0,-3888107.0,2364830.0,6145054.0,1001223.0,-2858181.0,15305853.0
Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Nợ phải trả > Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),-,7.333.077,-,-,-,-,-,-,7.333.077,,7333077.0,,,,,,,7333077.0
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]",2.273.272,23.274.568,(5.673.729),(3.888.107),2.364.830,6.145.054,1.001.223,(2.858.181),22.638.930,2273272.0,23274568.0,-5673729.0,-3888107.0,2364830.0,6145054.0,1001223.0,-2858181.0,22638930.0
