row_label_raw,row_label_full,col_0,Tại ngày 1.1.2021VND,Số phải thu/nộptrong nămVND,Số đã thực nộp/cấn trừ trong nămVND,Tại ngày 31.12.2021VND,numeric__Tại ngày 1.1.2021VND,numeric__Số phải thu/nộptrong nămVND,numeric__Số đã thực nộp/cấn trừ trong nămVND,numeric__Tại ngày 31.12.2021VND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,
Thuế GTGT được khấu trừ,a) Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,2.665.999.116,47.690.331.007,-,50.356.330.123,2665999116.0,47690331007.0,,50356330123.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,
Thuế TNDN,b) Phải nộp > Thuế TNDN,Thuế TNDN,135.717.077.296,14.027.919.315,(11.391.168.246),138.353.828.365,135717077296.0,14027919315.0,-11391168246.0,138353828365.0
Thuế GTGT,b) Phải nộp > Thuế GTGT,Thuế GTGT,103.888.422.189,438.288.056.448,(459.482.925.263),82.693.553.374,103888422189.0,438288056448.0,-459482925263.0,82693553374.0
Thuế thu nhập cá nhân,b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,53.916.323.935,40.195.090.548,(48.464.217.947),45.647.196.536,53916323935.0,40195090548.0,-48464217947.0,45647196536.0
Thuế nhà thầu nước ngoài,b) Phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,25.085.319,50.578.995.708,(28.593.412.968),22.010.668.059,25085319.0,50578995708.0,-28593412968.0,22010668059.0
Thuế khác,b) Phải nộp > Thuế khác,Thuế khác,-,18.327.956,(18.327.956),-,,18327956.0,-18327956.0,
,,,293.546.908.739,543.108.389.975,(547.950.052.380),288.705.246.334,293546908739.0,543108389975.0,-547950052380.0,288705246334.0
