row_label_raw,row_label_full,col_0,col_1,2021VND,2020VND,numeric__col_1,numeric__2021VND,numeric__2020VND
i),i),i),Doanh thu cho thuê tàu bayCông ty liên kếtBên liên quan khác,1.022.878.715.600292.251.589.700,1.050.068.574.82824.345.848.859,,1.0228787156002922e+24,1.0500685748282434e+23
i),i),i),Doanh thu cho thuê tàu bayCông ty liên kếtBên liên quan khác,1.315.130.305.300,1.074.414.423.687,,1315130305300.0,1074414423687.0
ii),ii),ii),Doanh thu từ chuyển quyền thương mại tàu bayBên liên quan khác,-,641.630.000.000,,,641630000000.0
iii),iii),iii),Thu nhập từ bán động cơBên liên quan khác,-,1.675.464.000.000,,,1675464000000.0
iv),iv),iv),Doanh thu đào tạoBên liên quan khác,300.029.748.989,-,,300029748989.0,
v),v),v),Doanh thu dịch vụ khácCông ty liên kếtCổ đông lớn,55.430.218.25950.528.100,175.002.070.685-,,5.543021825950529e+18,
v),v),v),Doanh thu dịch vụ khácCông ty liên kếtCổ đông lớn,55.480.746.359,175.002.070.685,,55480746359.0,175002070685.0
vi),vi),vi),Chi phí thuê hoạt động tàu bayBên liên quan khác,882.616.623.347,1.293.892.652.946,,882616623347.0,1293892652946.0
vii),vii),vii),Hoạt động tài chínhThu nhập về tiền lãiNgân hàng HDBankCông ty liên kếtBên liên quan khác,17.178.157.424190.410.491.67644.788.482.432,27.995.110.486215.537.095.73031.460.986.301,,1.717815742419041e+33,2.799511048621554e+33
vii),vii),vii),Hoạt động tài chínhThu nhập về tiền lãiNgân hàng HDBankCông ty liên kếtBên liên quan khác,252.377.131.532,274.993.192.517,,252377131532.0,274993192517.0
