row_label_raw,row_label_full,col_0,Chi phi bảo dưỡngtàu bayVND,Chi phí hoàn tràtài sản thuếVND,Chi phí kiểm trava sửa chữa lớnVND,"Phụ tùng xoayvòng, công cụvà dụng cụVND",KhácVND,Tổng cộngVND,numeric__Chi phi bảo dưỡngtàu bayVND,numeric__Chi phí hoàn tràtài sản thuếVND,numeric__Chi phí kiểm trava sửa chữa lớnVND,"numeric__Phụ tùng xoayvòng, công cụvà dụng cụVND",numeric__KhácVND,numeric__Tổng cộngVND
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,4.265.543.851.868,477.459.578.390,83.980.251.729,123.694.949.802,40.872.675.433,4.991.551.307.222,4265543851868.0,477459578390.0,83980251729.0,123694949802.0,40872675433.0,4991551307222.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.011.518.093.323,220.097.125.500,140.712.636.032,200.886.029.631,1.974.120.364,1.575.188.004.850,1011518093323.0,220097125500.0,140712636032.0,200886029631.0,1974120364.0,1575188004850.0
Xây dựng cơ bản mới hoàn thành(Thuyết minh 13),Xây dựng cơ bản mới hoàn thành(Thuyết minh 13),Xây dựng cơ bản mới hoàn thành(Thuyết minh 13),-,-,34.015.903.655,-,-,34.015.903.655,,,34015903655.0,,,34015903655.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(185.762.412.693),(65.401.508.392),(83.890.144.831),(141.690.548.864),(9.211.430.521),(485.956.045.301),-185762412693.0,-65401508392.0,-83890144831.0,-141690548864.0,-9211430521.0,-485956045301.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(25.744.535.976),-,-,-,-,(25.744.535.976),-25744535976.0,,,,,-25744535976.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.065.554.996.522,632.155.195.498,174.818.646.585,182.890.430.569,33.635.365.276,6.089.054.634.450,5065554996522.0,632155195498.0,174818646585.0,182890430569.0,33635365276.0,6089054634450.0
