row_label_raw,row_label_full,col_0,Tàu bay và các bộ phận VND,"Nhà cửa, vật kiến trúc VND",Mãy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Tàu bay và các bộ phận VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Mãy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giả > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,896.813.994.227,-,102.504.743.597,67.293.981.762,57.311.176.614,1.123.923.896.200,896813994227.0,,102504743597.0,67293981762.0,57311176614.0,1123923896200.0
Hợp nhất kinh doanh,Nguyên giả > Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,55.918.542,55.918.542,,,,,55918542.0,55918542.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,-,-,-,3.029.396.300,842.151.052,3.871.547.352,,,,3029396300.0,842151052.0,3871547352.0
Xây dựng cơ bản mới hoàn thành (Thuyết minh 13),Nguyên giả > Xây dựng cơ bản mới hoàn thành (Thuyết minh 13),Xây dựng cơ bản mới hoàn thành (Thuyết minh 13),-,387.463.400.057,-,-,-,387.463.400.057,,387463400057.0,,,,387463400057.0
Xóa số,Nguyên giả > Xóa số,Xóa số,-,-,(985.409.342),-,(3.031.098.391),(4.016.507.733),,,-985409342.0,,-3031098391.0,-4016507733.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,(53.350.000),(53.350.000),,,,,-53350000.0,-53350000.0
Khác,Nguyên giả > Khác,Khác,-,-,-,-,(55.918.542),(55.918.542),,,,,-55918542.0,-55918542.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giả > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,896.813.994.227,387.463.400.057,101.519.334.255,70.323.378.062,55.068.879.275,1.511.188.985.876,896813994227.0,387463400057.0,101519334255.0,70323378062.0,55068879275.0,1511188985876.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,204.945.749.364,-,27.821.530.936,19.754.157.459,21.977.508.786,274.498.946.545,204945749364.0,,27821530936.0,19754157459.0,21977508786.0,274498946545.0
Hợp nhất kinh doanh,Khấu hao lũy kế > Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,7.039.920,7.039.920,,,,,7039920.0,7039920.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,44.877.940.212,18.172.790.992,15.601.287.929,7.435.632.895,4.273.497.411,90.361.149.439,44877940212.0,18172790992.0,15601287929.0,7435632895.0,4273497411.0,90361149439.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,-,-,(985.409.342),-,(3.031.098.391),(4.016.507.733),,,-985409342.0,,-3031098391.0,-4016507733.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,(6.668.748),(6.668.748),,,,,-6668748.0,-6668748.0
Khác,Khấu hao lũy kế > Khác,Khác,-,-,-,-,(9.369.858),(9.369.858),,,,,-9369858.0,-9369858.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,249.823.689.576,18.172.790.992,42.437.409.523,27.189.790.354,23.210.909.120,360.834.589.565,249823689576.0,18172790992.0,42437409523.0,27189790354.0,23210909120.0,360834589565.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,691.868.244.863,-,74.683.212.661,47.539.824.303,35.333.667.828,849.424.949.655,691868244863.0,,74683212661.0,47539824303.0,35333667828.0,849424949655.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,646.990.304.651,369.290.609.065,59.081.924.732,43.133.587.708,31.857.970.155,1.150.354.396.311,646990304651.0,369290609065.0,59081924732.0,43133587708.0,31857970155.0,1150354396311.0
