row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2021VND,2020VND,,,
01,Mãsố > 01,01,Doanh thu bán hàng và cung cấp dịch vụ,12.874.919.725.450,18.220.292.888.526,,12874919725450.0,18220292888526.0
02,02,02,Các khoản giảm trừ doanh thu,,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,29,12.874.919.725.450,,29.0,12874919725450.0
11,02 > 11,11,Giá vốn hàng bán và cung cấpdịch vụ,30,(14.913.724.210.509),,30.0,-14913724210509.0
20,02 > 20,20,Lỗ gộp về bán hàng và cung cấp dịch vụ,(2.038.804.485.059),(1.411.928.468.501),,-2038804485059.0,-1411928468501.0
21,02 > 21,21,Doanh thu hoạt động tài chính,31,4.032.772.056.932,,31.0,4032772056932.0
22,02 > 22,22,Chi phí tài chính,32,(806.254.583.608),,32.0,-806254583608.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,32,(804.782.847.259),,32.0,-804782847259.0
24,02 > 24,24,Phần lỗ trong công ty liên kết,,(42.270.859.708),,,-42270859708.0
25,02 > 25,25,Chi phí bán hàng,33,(607.756.237.934),,33.0,-607756237934.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,34,(365.729.158.499),,34.0,-365729158499.0
30,02 > 30,30,Lợi nhuận/(lỗ) thuần từ hoạt độngkinh doanh,171.956.732.124,(2.017.567.024.489),,171956732124.0,-2017567024489.0
31,02 > 31,31,Thu nhập khác,16.201.777.600,1.779.506.069.100,,16201777600.0,1779506069100.0
32,02 > 32,32,Chi phí khác,(7.778.986.800),(6.431.815.059),,-7778986800.0,-6431815059.0
40,02 > 40,40,Lợi nhuận khác,8.422.790.800,1.773.074.254.041,,8422790800.0,1773074254041.0
50,02 > 50,50,Tổng lợi nhuận/(lỗ) kế toán trước thuế,180.379.522.924,(244.492.770.448),,180379522924.0,-244492770448.0
51,02 > 51,51,"Chi phí thuế thu nhập doanh nghiệp(""TNDN"") hiện hành",35,(14.027.919.315),,35.0,-14027919315.0
52,02 > 52,52,(Chi phí)/thu nhập thuế TNDNhoản lại,"35, 23",(86.692.296.300),,,-86692296300.0
60,02 > 60,60,Lợi nhuận sau thuế TNDN,79.659.307.309,68.665.335.134,,79659307309.0,68665335134.0
61,02 > 61,61,Phân bổ cho:Cổ đông của Công ty,74.584.907.230,68.591.150.827,,74584907230.0,68591150827.0
62,02 > 62,62,Cổ đông không kiểm soát,5.074.400.079,74.184.307,,5074400079.0,74184307.0
70,02 > 70,70,Lãi cơ bản trên cổ phiếu,27(a),139,,,139.0
71,02 > 71,71,Lãi suy giảm trên cổ phiếu,27(b),131,,,131.0
Phạm Ngọc ThoaKế toán trưởng,Phạm Ngọc ThoaKế toán trưởng,Phạm Ngọc ThoaKế toán trưởng,Phạm Ngọc ThoaKế toán trưởng,Hồ Ngọc Yến PhươngPhó Tổng Giám đốc kiểmGiám đốc Tài chính,Đình Việt PhươngPhó Tổng Giám đốc Thường trựckiểm Giám đốc Điều hànhNgày 30 tháng 4 năm 2022,,,
