row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,Tai ngày 1 tháng,,,,,,,
1 năm 2020,Tai ngày 1 tháng > 1 năm 2020,1 năm 2020,5.416.113.340.000,245.949.492.805,(2.347.121.362.620),64.819.738.693,11.520.659.436.312,2.411.184.871,14.902.831.830.061,5416113340000.0,245949492805.0,-2347121362620.0,64819738693.0,11520659436312.0,2411184871.0,14902831830061.0
Lợi nhuận thuần trong năm,Tai ngày 1 tháng > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,68.591.150.827,74.184.307,68.665.335.134,,,,,68591150827.0,74184307.0,68665335134.0
Chia cổ tức,Tai ngày 1 tháng > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(1.829.539.234),(1.829.539.234),,,,,,-1829539234.0,-1829539234.0
Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Tai ngày 1 tháng > Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,-,8.731.359.157,-,-,8.731.359.157,,,,8731359157.0,,,8731359157.0
Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,,,,,,,
12 năm 2020,Tai ngày 31 tháng > 12 năm 2020,12 năm 2020,5.416.113.340.000,245.949.492.805,(2.347.121.362.620),73.551.097.850,11.589.250.587.139,655.829.944,14.978.398.985.118,5416113340000.0,245949492805.0,-2347121362620.0,73551097850.0,11589250587139.0,655829944.0,14978398985118.0
Lợi nhuận thuần trơn năm,Tai ngày 31 tháng > Lợi nhuận thuần trơn năm,Lợi nhuận thuần trơn năm,-,-,-,-,74.584.907.230,5.074.400.079,79.659.307.309,,,,,74584907230.0,5074400079.0,79659307309.0
Hợp nhất kinh doanh,Tai ngày 31 tháng > Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,12.454.650.788,12.454.650.788,,,,,,12454650788.0,12454650788.0
Thay đổi tỷ lệ sở hữu,Tai ngày 31 tháng > Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,(1.726.786.287),1.726.786.287,-,,,,,-1726786287.0,1726786287.0,
"Trích quỹ khên thưởng, phúc lợi (Thuyết minh 22)","Tai ngày 31 tháng > Trích quỹ khên thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khên thưởng, phúc lợi (Thuyết minh 22)",-,-,-,-,(380.676.119.348),-,(380.676.119.348),,,,,-380676119348.0,,-380676119348.0
Bán cổ phiếu quỹ,Tai ngày 31 tháng > Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,1.533.625.094,2.347.121.362.620,-,-,-,2.348.654.987.714,,1533625094.0,2347121362620.0,,,,2348654987714.0
Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Tai ngày 31 tháng > Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,-,(184.281.491.101),-,-,(184.281.491.101),,,,-184281491101.0,,,-184281491101.0
Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,Tai ngày 31 tháng,,,,,,,
12 năm 2021,Tai ngày 31 tháng > 12 năm 2021,12 năm 2021,5.416.113.340.000,247.483.117.899,-,(110.730.393.251),11.281.432.588.734,19.911.667.098,16.854.210.320.480,5416113340000.0,247483117899.0,,-110730393251.0,11281432588734.0,19911667098.0,16854210320480.0
