row_label_raw,row_label_full,col_0,2021,2021_1,2020,2020_1,numeric__2021,numeric__2021_1,numeric__2020,numeric__2020_1
,,,Già trị VND,Dự phòng VND,Già trị VND,Dự phòng VND,,,,
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Đóng góp vào quỹbảo dưỡng tàu baythuế,Bên thứ ba > Đóng góp vào quỹbảo dưỡng tàu baythuế,Đóng góp vào quỹbảo dưỡng tàu baythuế,1.824.881.774.817,-,1.824.881.774.817,-,1824881774817.0,,1824881774817.0,
Đặt cọc mua tàu baynhận trong 12 thángtiếp theo (i),Bên thứ ba > Đặt cọc mua tàu baynhận trong 12 thángtiếp theo (i),Đặt cọc mua tàu baynhận trong 12 thángtiếp theo (i),1.585.033.816.020,-,4.189.158.334.254,-,1585033816020.0,,4189158334254.0,
Khoản chiết khấu từnhà cung cấp,Bên thứ ba > Khoản chiết khấu từnhà cung cấp,Khoản chiết khấu từnhà cung cấp,660.820.286.965,-,689.174.934.689,-,660820286965.0,,689174934689.0,
Phải thu từ quỹ bảodường tàu bay thuê,Bên thứ ba > Phải thu từ quỹ bảodường tàu bay thuê,Phải thu từ quỹ bảodường tàu bay thuê,592.857.173.965,-,232.782.861.484,-,592857173965.0,,232782861484.0,
Phải thu khác từ nhàcung cấp tàu bay (ii),Bên thứ ba > Phải thu khác từ nhàcung cấp tàu bay (ii),Phải thu khác từ nhàcung cấp tàu bay (ii),342.554.595.502,-,557.160.000.000,-,342554595502.0,,557160000000.0,
Khác,Bên thứ ba > Khác,Khác,769.999.731.892,-,627.253.175.586,-,769999731892.0,,627253175586.0,
,,,5.776.147.379.161,-,8.120.411.080.830,-,5776147379161.0,,8120411080830.0,
Bên liên quan(Thuyết minh 39(b)),Bên thứ ba > Bên liên quan(Thuyết minh 39(b)),Bên liên quan(Thuyết minh 39(b)),5.275.393.517.908,-,4.017.818.077.171,-,5275393517908.0,,4017818077171.0,
,,,11.051.540.897.069,-,12.138.229.158.001,-,11051540897069.0,,12138229158001.0,
