row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2021VND,2020VND,,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH,,,,
31,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 31,31,Tiền thu bán cổ phiếu quỹ,,2.348.654.987.714,-,,,2348654987714.0,
33,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 33,33,Tiền thu đi vay,,17.361.032.360.990,17.804.330.775.879,,,17361032360990.0,17804330775879.0
34,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 34,34,Tiền chỉ trả nợ gốc vay,,(13.316.544.337.918),(18.173.617.597.912),,,-13316544337918.0,-18173617597912.0
40,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,6.393.143.010.786,(369.286.822.033),,,6393143010786.0,-369286822033.0
50,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 50,50,Lưu chuyển tiền và tương đương tiền thuần trong năm,,(1.040.974.210.823),(2.434.154.321.123),,,-1040974210823.0,-2434154321123.0
60,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,4,2.926.425.627.363,5.364.049.804.580,,4.0,2926425627363.0,5364049804580.0
61,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoai quy đổi ngoại tệ,,(17.198.469.983),(3.469.856.094),,,-17198469983.0,-3469856094.0
70,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNGTÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,4,1.868.252.946.557,2.926.425.627.363,,4.0,1868252946557.0,2926425627363.0
