row_label_raw,row_label_full,col_0,Giá trị hợp lý có thể xác định tại ngày mua VND,numeric__Giá trị hợp lý có thể xác định tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,38.593.614.207,38593614207.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,110.000.000,110000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,508.390.713,508390713.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,5.002.845.592,5002845592.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,971.604.056,971604056.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,9.000.000.000,9000000000.0
,,,54.186.454.568,54186454568.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,16.420.739.275,16420739275.0
,,,16.420.739.275,16420739275.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,37.765.715.293,37765715293.0
Lợi thế thương mại (*),Nợ phải trả > Lợi thế thương mại (*),Lợi thế thương mại (*),6.188.935.495,6188935495.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(12.454.650.788),-12454650788.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,31.500.000.000,31500000000.0
