row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2021VND,2020VND,,,,
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH,,,,
01,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 01,01,Lợi nhuận/(lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:,,180.379.522.924,(244.492.770.448),,,180379522924.0,-244492770448.0
02,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"") vàphân bổ lợi thế thương mại",,98.078.009.402,141.435.349.577,,,98078009402.0,141435349577.0
03,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 03,03,Các khoản dự phòng/(hoàn nhập dự phòng),,1.248.753.445.939,(119.581.017.648),,,1248753445939.0,-119581017648.0
04,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lacic khoản mục tiền tệ có gốc ngoại tệ,,220.650.652.715,30.763.613.923,,,220650652715.0,30763613923.0
05,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 05,05,Lãi từ hoạt động đầu tư,,(244.838.291.866),(741.818.692.497),,,-244838291866.0,-741818692497.0
06,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 06,06,Chi phí lãi vay,,804.782.847.259,452.572.729.500,,,804782847259.0,452572729500.0
08,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 08,08,Lãi/(lỗ) từ hoạt động kinh doanh trướcnhững thay đối vốn lưu động,,2.307.806.186.373,(481.120.787.593),,,2307806186373.0,-481120787593.0
09,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 09,09,Tăng các khoản phải thu,,(5.591.418.282.646),(1.032.209.073.740),,,-5591418282646.0,-1032209073740.0
10,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 10,10,(Tăng)/giảm hàng tồn kho,,(99.153.768.528),35.805.417.710,,,-99153768528.0,35805417710.0
11,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 11,11,Giảm các khoản phải trả,,(1.689.496.549.248),(824.443.624.713),,,-1689496549248.0,-824443624713.0
12,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 12,12,Tăng chi phí trả trước,,(866.941.322.443),(218.645.374.852),,,-866941322443.0,-218645374852.0
14,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 14,14,Tiền lãi vay đã trả,,(546.700.781.758),(432.836.309.700),,,-546700781758.0,-432836309700.0
15,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 15,15,Thuế TNDN đã nộp,,(11.391.168.246),(254.507.686.710),,,-11391168246.0,-254507686710.0
17,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,,(53.526.042.557),-,,,-53526042557.0,
20,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNGKINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(6.550.821.729.053),(3.207.957.439.598),,,-6550821729053.0,-3207957439598.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và cáctài sản dài hạn khác",,(174.908.809.761),(293.759.925.297),,,-174908809761.0,-293759925297.0
22,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ vàtài sản dài hạn khác",,802.487.001,397.277.400.299,,,802487001.0,397277400299.0
23,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,"Tiền chi cho vay, tiền gửi có kỳ hạn",,(954.307.071.788),-,,,-954307071788.0,
24,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",,6.556.181.818,709.756.800.000,,,6556181818.0,709756800000.0
25,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(21.806.385.793),-,,,-21806385793.0,
27,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 27,27,Tiền thu lãi cho vay và cổ tức được chia,,260.368.105.967,329.815.665.506,,,260368105967.0,329815665506.0
30,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(883.295.492.556),1.143.089.940.508,,,-883295492556.0,1143089940508.0
