row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2021 VND,Tại ngày 31 tháng 12 năm > 2020 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2021 VND,numeric__Tại ngày 31 tháng 12 năm > 2020 VND
100,100,100,TÀI SẢN NGĂN HẠN,,12.215.599.008.275,4.492.264.536.968,,,12215599008275.0,4492264536968.0
110,110,110,Tiền và các khoản tương đương tiền,4,751.445.944.055,219.161.716.845,,4.0,751445944055.0,219161716845.0
111,111,111,Tiền,,670.954.162.335,45.471.716.845,,,670954162335.0,45471716845.0
112,112,112,Các khoản tương đương tiền,,80.491.781.720,173.690.000.000,,,80491781720.0,173690000000.0
120,120,120,Đầu tư tài chính ngắn hạn,,447.713.546.612,369.526.402.595,,,447713546612.0,369526402595.0
121,121,121,Chứng khoán kinh doanh,5(a),9.353.176,9.353.176,,,9353176.0,9353176.0
123,123,123,Đầu tư nằm giữ đến ngày đáo hạn,5(b),447.704.193.436,369.517.049.419,,,447704193436.0,369517049419.0
130,130,130,Các khoản phải thu ngắn hạn,,1.901.701.507.479,1.437.540.466.313,,,1901701507479.0,1437540466313.0
131,131,131,Phải thu ngắn hạn của khách hàng,6,1.493.179.266.213,1.218.090.460.560,,6.0,1493179266213.0,1218090460560.0
132,132,132,Trả trước cho người bán ngắn hạn,7,351.713.227.664,204.796.849.338,,7.0,351713227664.0,204796849338.0
136,136,136,Phải thu ngắn hạn khác,8(a),63.068.470.363,17.411.507.841,,,63068470363.0,17411507841.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,6,(6.259.456.761),(2.758.351.426),,6.0,-6259456761.0,-2758351426.0
140,140,140,Hàng tồn kho,,8.281.323.556.123,2.371.077.179.239,,,8281323556123.0,2371077179239.0
141,141,141,Hàng tồn kho,9,8.701.658.662.222,2.371.077.179.239,,9.0,8701658662222.0,2371077179239.0
149,149,149,Dự phòng giảm giá hàng tồn kho,9,(420.335.106.099),-,,9.0,-420335106099.0,
150,150,150,Tài sản ngắn hạn khác,,833.414.454.006,94.958.771.976,,,833414454006.0,94958771976.0
151,151,151,Chi phí trả trước ngắn hạn,10(a),13.523.389.572,9.213.413.509,,,13523389572.0,9213413509.0
152,152,152,"Thuế Giá trị Gia tăng (""GTGT"") được khấu trừ",16,819.891.064.434,85.745.358.467,,16.0,819891064434.0,85745358467.0
