row_label_raw,row_label_full,col_0,col_1,2021 > Giá gốc VND,2021 > Giá trị ghi sở VND,2020 > Giá gốc VND,2020 > Giá trị ghi sở VND,numeric__col_1,numeric__2021 > Giá gốc VND,numeric__2021 > Giá trị ghi sở VND,numeric__2020 > Giá gốc VND,numeric__2020 > Giá trị ghi sở VND
(i),(i),(i),Ngắn hạn,,,,,,,,,
(i),(i) > (i),(i),Tiền gửi có kỳ hạn (*),447.704.193.436,447.704.193.436,369.517.049.419,369.517.049.419,,447704193436.0,447704193436.0,369517049419.0,369517049419.0
(ii),(ii),(ii),Dài hạn,,,,,,,,,
(ii),(ii) > (ii),(ii),Tiền gửi có kỳ hạn,-,-,15.000.000.000,15.000.000.000,,,,15000000000.0,15000000000.0
(ii),(ii) > (ii),(ii),Trái phiếu (**),8.180.000.000,8.180.000.000,8.180.000.000,8.180.000.000,,8180000000.0,8180000000.0,8180000000.0,8180000000.0
(ii),(ii) > (ii),(ii),,8.180.000.000,8.180.000.000,23.180.000.000,23.180.000.000,,8180000000.0,8180000000.0,23180000000.0,23180000000.0
