row_label_raw,row_label_full,col_0,2021,2021_1,2020,2020_1,numeric__2021,numeric__2021_1,numeric__2020,numeric__2020_1
,,,Cổ phiếu phổ thông,%,Cổ phiếu phổ thông,%,,,,
Ông Hồ Minh Quang,Ông Hồ Minh Quang,Ông Hồ Minh Quang,28.159.249,"12,89",23.466.044,"12,89",28159249.0,12.89,23466044.0,12.89
"Unicoh Specialty Chemical Co., Ltd","Unicoh Specialty Chemical Co., Ltd","Unicoh Specialty Chemical Co., Ltd",11.040.000,"5,05",12.600.000,"6,92",11040000.0,5.05,12600000.0,6.92
Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,,,,,,,,
Thương Maji SMC,Công ty Cổ phần Đầu tư > Thương Maji SMC,Thương Maji SMC,10.920.000,"5,00",9.100.000,"5,00",10920000.0,5.0,9100000.0,5.0
Ông Vỗ Hoàng Vũ,Công ty Cổ phần Đầu tư > Ông Vỗ Hoàng Vũ,Ông Vỗ Hoàng Vũ,7.812.000,"3,58",19.010.000,"10,45",7812000.0,3.58,19010000.0,10.45
Bà Nguyễn Thị Nhân,Công ty Cổ phần Đầu tư > Bà Nguyễn Thị Nhân,Bà Nguyễn Thị Nhân,6.270.300,"2,87",7.368.585,"4,05",6270300.0,2.87,7368585.0,4.05
Bà Phạm Thị Thu Yến,Công ty Cổ phần Đầu tư > Bà Phạm Thị Thu Yến,Bà Phạm Thị Thu Yến,6.207.300,"2,84",-,-,6207300.0,2.84,,
Ông Trương Quốc Huy,Công ty Cổ phần Đầu tư > Ông Trương Quốc Huy,Ông Trương Quốc Huy,3.610.600,"1,65",7.264.165,"3,99",3610600.0,1.65,7264165.0,3.99
Các cổ đông khác,Công ty Cổ phần Đầu tư > Các cổ đông khác,Các cổ đông khác,144.379.119,"66,12",93.191.074,"51,21",144379119.0,66.12,93191074.0,51.21
Cổ phiếu quỹ,Công ty Cổ phần Đầu tư > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,10.000.000,"5,49",,,10000000.0,5.49
Số lượng cổ phiếu đã phát hành,Công ty Cổ phần Đầu tư > Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,218.398.568,"100,00",181.999.868,"100,00",218398568.0,100.0,181999868.0,100.0
