row_label_raw,row_label_full,col_0,Tại ngày 1.1.2021 > Phải thuVND,Tại ngày 1.1.2021 > Phải nộpVND,Số phải nộp/cấntrừ trong nămVND,Số đã thựcnộp/phải thutrong nămVND,KhácVND,Tại ngày 31.12.2021 > Phải thuVND,Tại ngày 31.12.2021 > Phải nộpVND,numeric__Tại ngày 1.1.2021 > Phải thuVND,numeric__Tại ngày 1.1.2021 > Phải nộpVND,numeric__Số phải nộp/cấntrừ trong nămVND,numeric__Số đã thựcnộp/phải thutrong nămVND,numeric__KhácVND,numeric__Tại ngày 31.12.2021 > Phải thuVND,numeric__Tại ngày 31.12.2021 > Phải nộpVND
Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,85.745.358.467,-,3.309.623.686.713,4.043.149.020.328,620.372.352,819.891.064.434,-,85745358467.0,,3309623686713.0,4043149020328.0,620372352.0,819891064434.0,
Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,Thuế GTGT được khấu trừThuế GTGT hàng bántrong nước,-,-,1.101.409.860.791,1.101.409.860.791,-,-,-,,,1101409860791.0,1101409860791.0,,,
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",-,31.432.237.406,934.734.158.979,897.663.068.675,-,-,68.503.327.710,,31432237406.0,934734158979.0,897663068675.0,,,68503327710.0
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",-,43.882.158,4.433.532.318,3.423.651.543,-,-,1.053.762.933,,43882158.0,4433532318.0,3423651543.0,,,1053762933.0
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",-,16.929.682.093,356.682.935.566,255.631.985.625,-,-,117.980.632.034,,16929682093.0,356682935566.0,255631985625.0,,,117980632034.0
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",-,2.650.722.194,10.111.366.126,10.720.965.780,-,-,2.041.122.540,,2650722194.0,10111366126.0,10720965780.0,,,2041122540.0
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",-,-,872.673.802,638.773.882,-,-,233.899.920,,,872673802.0,638773882.0,,,233899920.0
"Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác","Thuế GTGT hàng nhập khẩuThuế xuất, nhập khẩuThuế TNDNThuế thu nhập cá nhânCác loại thuế khác",85.745.358.467,51.056.523.851,5.717.868.214.295,6.312.637.326.624,620.372.352,819.891.064.434,189.812.745.137,85745358467.0,51056523851.0,5717868214295.0,6312637326624.0,620372352.0,819891064434.0,189812745137.0
17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,17 VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,,
(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,,,,,,,
