row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Chi phí trả trước dài hạn (Thuyết minh 10),Tài sản > Chi phí trả trước dài hạn (Thuyết minh 10),Chi phí trả trước dài hạn (Thuyết minh 10),167.418.208.282,167418208282.0
Thuế Giá trị Gia tăng được khấu trừ,Tài sản > Thuế Giá trị Gia tăng được khấu trừ,Thuế Giá trị Gia tăng được khấu trừ,620.372.352,620372352.0
Khác,Tài sản > Khác,Khác,292.901,292901.0
,,,168.038.873.535,168038873535.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
,,,29.617.704.052,29617704052.0
Khác,Nợ phải trả > Khác,Khác,1.169.483,1169483.0
,,,29.618.873.535,29618873535.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,138.420.000.000,138420000000.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,-,
Tiền thuần chi ra,Lợi thế thương mại > Tiền thuần chi ra,Tiền thuần chi ra,138.420.000.000,138420000000.0
