row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,707.966.849.535,3.660.181.925.087,253.118.422.469,15.599.588.756,725.753.480,4.637.592.539.327,707966849535.0,3660181925087.0,253118422469.0,15599588756.0,725753480.0,4637592539327.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,17.793.422.969,1.275.000.000,-,-,19.068.422.969,,17793422969.0,1275000000.0,,,19068422969.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),-,2.880.717.506,880.000.000,173.180.000,-,3.933.897.506,,2880717506.0,880000000.0,173180000.0,,3933897506.0
Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),Nguyên giá > Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),-,169.433.832.365,-,-,-,169.433.832.365,,169433832365.0,,,,169433832365.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,707.966.849.535,3.850.289.897.927,255.273.422.469,15.772.768.756,725.753.480,4.830.028.692.167,707966849535.0,3850289897927.0,255273422469.0,15772768756.0,725753480.0,4830028692167.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,253.064.909.040,1.557.540.145.253,92.851.218.360,6.824.209.143,402.803.346,1.910.683.285.142,253064909040.0,1557540145253.0,92851218360.0,6824209143.0,402803346.0,1910683285142.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.823.813.479,298.035.993.141,18.444.892.094,1.727.440.325,50.242.963,365.082.382.002,46823813479.0,298035993141.0,18444892094.0,1727440325.0,50242963.0,365082382002.0
Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),Giá trị khấu hao lũy kế > Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),Chuyển từ tài sản cố định thuếtài chính (Thuyết minh 11(b)),-,24.446.588.977,-,-,-,24.446.588.977,,24446588977.0,,,,24446588977.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,299.888.722.519,1.880.022.727.371,111.296.110.454,8.551.649.468,453.046.309,2.300.212.256.121,299888722519.0,1880022727371.0,111296110454.0,8551649468.0,453046309.0,2300212256121.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,454.901.940.495,2.102.641.779.834,160.267.204.109,8.775.379.613,322.950.134,2.726.909.254.185,454901940495.0,2102641779834.0,160267204109.0,8775379613.0,322950134.0,2726909254185.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,408.078.127.016,1.970.267.170.556,143.977.312.015,7.221.119.288,272.707.171,2.529.816.436.046,408078127016.0,1970267170556.0,143977312015.0,7221119288.0,272707171.0,2529816436046.0
