row_label_raw,row_label_full,31/12/2024,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,539.202.757.999,-,539.202.757.999,539202757999.0,,539202757999.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,7.299.000.000.000,-,7.299.000.000.000,7299000000000.0,,7299000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,340.559.149.690,-,340.559.149.690,340559149690.0,,340559149690.0
Phải thu khác,Phải thu khác,Phải thu khác,49.099.238.006,434.783.710,49.534.021.716,49099238006.0,434783710.0,49534021716.0
Cộng,Cộng,Cộng,8.227.861.145.695,434.783.710,8.228.295.929.405,8227861145695.0,434783710.0,8228295929405.0
01/01/2024,01/01/2024,01/01/2024,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2024 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,289.482.272.858,-,289.482.272.858,289482272858.0,,289482272858.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2024 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,6.165.000.000.000,-,6.165.000.000.000,6165000000000.0,,6165000000000.0
Phải thu khách hàng,01/01/2024 > Phải thu khách hàng,Phải thu khách hàng,244.460.458.051,-,244.460.458.051,244460458051.0,,244460458051.0
Phải thu khác,01/01/2024 > Phải thu khác,Phải thu khác,50.212.369.206,786.569.947,50.998.939.153,50212369206.0,786569947.0,50998939153.0
Cộng,01/01/2024 > Cộng,Cộng,6.749.155.100.115,786.569.947,6.749.941.670.062,6749155100115.0,786569947.0,6749941670062.0
