row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Logi trừ,Logi trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Logi trừ,numeric__Logi trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,,,,,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,3.939.439.526.736,4.036.798.413.675,4.173.521.197.927,4.002.769.608.392,2.112.359.519.069,2.434.219.040.500,1.841.052.092.101,1.707.841.382.931,(1.823.106.930.807),(2.160.393.181.299),10.243.265.405.026,10.021.235.264.199,3939439526736.0,4036798413675.0,4173521197927.0,4002769608392.0,2112359519069.0,2434219040500.0,1841052092101.0,1707841382931.0,-1823106930807.0,-2160393181299.0,10243265405026.0,10021235264199.0
Giá vốn bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,2.649.501.089.986,2.780.400.608.753,2.535.983.890.839,2.359.956.789.086,2.068.813.551.834,2.394.770.912.457,1.314.675.193.139,1.283.204.045.788,(1.809.726.997.550),(2.147.939.721.304),6.759.246.728.248,6.670.392.634.780,2649501089986.0,2780400608753.0,2535983890839.0,2359956789086.0,2068813551834.0,2394770912457.0,1314675193139.0,1283204045788.0,-1809726997550.0,-2147939721304.0,6759246728248.0,6670392634780.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,1.289.938.436.750,1.256.397.804.922,1.637.537.307.088,1.642.812.819.306,43.545.967.235,39.448.128.043,526.376.898.962,424.637.337.143,(13.379.933.257),(12.453.459.995),3.484.018.676.778,3.350.842.629.419,1289938436750.0,1256397804922.0,1637537307088.0,1642812819306.0,43545967235.0,39448128043.0,526376898962.0,424637337143.0,-13379933257.0,-12453459995.0,3484018676778.0,3350842629419.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,262.267.815.860,340.607.535.831,,,,,,,,,,,262267815860.0,340607535831.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,95.928.285.041,138.891.494.695,,,,,,,,,,,95928285041.0,138891494695.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,862.662.368.859,805.491.960.579,,,,,,,,,,,862662368859.0,805491960579.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,240.538.806.846,391.346.215.563,,,,,,,,,,,240538806846.0,391346215563.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,2.547.157.031.892,2.355.720.494.413,,,,,,,,,,,2547157031892.0,2355720494413.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,99.430.695.134,93.995.949.879,,,,,,,,,,,99430695134.0,93995949879.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,1.397.239.452,2.868.560.251,,,,,,,,,,,1397239452.0,2868560251.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,98.033.455.682,91.127.389.628,,,,,,,,,,,98033455682.0,91127389628.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,2.645.190.487.574,2.446.847.884.041,,,,,,,,,,,2645190487574.0,2446847884041.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,268.496.235.042,263.382.608.594,,,,,,,,,,,268496235042.0,263382608594.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,2.376.694.252.532,2.183.465.275.447,,,,,,,,,,,2376694252532.0,2183465275447.0
