row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2024 VND,01/01/2024 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__01/01/2024 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.806.970.982.376,3.472.205.987.868,,300.0,,3806970982376.0,3472205987868.0
I.,I.,I.,Nợ ngắn hạn,310,,3.626.832.974.969,3.281.488.129.991,,310.0,,3626832974969.0,3281488129991.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,464.095.068.931,456.319.808.742,,311.0,16.0,464095068931.0,456319808742.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,56.336.078.973,35.532.426.204,,312.0,17.0,56336078973.0,35532426204.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,18,158.664.563.895,145.721.654.219,,313.0,18.0,158664563895.0,145721654219.0
4.,4.,4.,Phải trả người lao động,314,,95.083.947.966,111.461.532.617,,314.0,,95083947966.0,111461532617.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,4.821.918.376,3.339.377.086,,315.0,19.0,4821918376.0,3339377086.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,712.727,712.727,,318.0,,712727.0,712727.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20.a,50.614.459.856,42.427.563.697,,319.0,,50614459856.0,42427563697.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,2.713.580.820.203,2.411.316.232.933,,320.0,21.0,2713580820203.0,2411316232933.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,83.635.404.042,75.368.821.766,,322.0,,83635404042.0,75368821766.0
II.,II.,II.,Nợ dài hạn,330,,180.138.007.407,190.717.857.877,,330.0,,180138007407.0,190717857877.0
1.,1.,1.,Phải trả dài hạn khác,337,20.b,8.301.854.364,8.251.004.364,,337.0,,8301854364.0,8251004364.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,22,171.836.153.043,182.466.853.513,,343.0,22.0,171836153043.0,182466853513.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,10.001.517.079.259,8.580.558.538.835,,400.0,,10001517079259.0,8580558538835.0
I.,I.,I.,Vốn chủ sở hữu,410,23,10.001.517.079.259,8.580.558.538.835,,410.0,23.0,10001517079259.0,8580558538835.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,23,3.676.481.530.000,3.569.399.550.000,,411.0,23.0,3676481530000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.676.481.530.000,3.569.399.550.000,,,,3676481530000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,1. > 2.,2.,Thặng dư vốn cổ phần,412,23,528.846.222.426,353.499.663.780,,412.0,23.0,528846222426.0,353499663780.0
3.,1. > 3.,3.,Cổ phiếu quỹ,415,23,(834.457.318.216),(834.457.318.216),,415.0,23.0,-834457318216.0,-834457318216.0
4.,1. > 4.,4.,Quỹ đầu tư phát triển,418,23,779.879.626.112,714.375.667.849,,418.0,23.0,779879626112.0,714375667849.0
5.,1. > 5.,5.,Lợi nhuận sau thuế chưa phân phối,421,23,5.850.767.018.937,4.777.740.975.422,,421.0,23.0,5850767018937.0,4777740975422.0
5.,1. > 5.,5.,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,3.786.186.314.405,2.895.681.049.975,,,,3786186314405.0,2895681049975.0
5.,1. > 5.,5.,- LNST chưa phân phối kỳ này,421b,,2.064.580.704.532,1.882.059.925.447,,,,2064580704532.0,1882059925447.0
6.,1. > 6.,6.,Lợi ích cổ đông không kiểm soát,429,,-,-,,429.0,,,
II.,1. > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,13.808.488.061.635,12.052.764.526.703,,440.0,,13808488061635.0,12052764526703.0
