row_label_raw,row_label_full,31/12/2024,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2024,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2024
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.749.666.262.043,(2.069.378.933.645),509.235.437.513,2.770.647.594.645,131.114.453.822,223.699.855.355,3749666262043.0,-2069378933645.0,509235437513.0,2770647594645.0,131114453822.0,223699855355.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.283.812.166.440,(1.899.520.184.124),96.784.258.137,1.043.694.827.231,194.639.908.731,80.964.540.180,2283812166440.0,-1899520184124.0,96784258137.0,1043694827231.0,194639908731.0,80964540180.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.632.833.390),203.537.144.510,1.039.692.495.175,17.395.468.512,44.799.818,2733593085.0,-2632833390.0,203537144510.0,1039692495175.0,17395468512.0,44799818.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.344.546.804.978,(1.974.802.685.470),204.608.643.369,10.792.588.195.812,3.667.300.111.099,133.583.867.592,3344546804978.0,-1974802685470.0,204608643369.0,10792588195812.0,3667300111099.0,133583867592.0
,,,9.380.758.826.546,(5.946.334.636.629),1.014.165.483.529,15.646.623.112.863,4.010.449.942.164,438.293.062.945,9380758826546.0,-5946334636629.0,1014165483529.0,15646623112863.0,4010449942164.0,438293062945.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(203.478.959.788),(1.838.135.051.228),(203.478.959.788),-,,,-203478959788.0,-1838135051228.0,-203478959788.0,
Tổng cộng,Tổng cộng,Tổng cộng,9.380.758.826.546,(5.946.334.636.629),810.686.523.741,13.808.488.061.635,3.806.970.982.376,438.293.062.945,9380758826546.0,-5946334636629.0,810686523741.0,13808488061635.0,3806970982376.0,438293062945.0
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐ Năm 2023,,,,,,
01/01/2024,01/01/2024,01/01/2024,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2023,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2024 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.714.930.538.073,(1.885.360.525.937),409.514.989.748,2.504.949.114.986,165.543.576.530,219.267.312.886,3714930538073.0,-1885360525937.0,409514989748.0,2504949114986.0,165543576530.0,219267312886.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2024 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.163.783.924.889,(1.822.349.155.176),96.922.592.379,989.005.768.060,168.360.214.580,80.260.339.896,2163783924889.0,-1822349155176.0,96922592379.0,989005768060.0,168360214580.0,80260339896.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2024 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.588.033.572),175.287.437.837,1.011.552.806.106,16.591.637.850,44.799.818,2733593085.0,-2588033572.0,175287437837.0,1011552806106.0,16591637850.0,44799818.0
Hoạt động SXKD khác,01/01/2024 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.322.869.305.262,(1.843.802.515.578),155.254.463.009,9.356.671.796.233,3.296.565.039.598,140.435.399.473,3322869305262.0,-1843802515578.0,155254463009.0,9356671796233.0,3296565039598.0,140435399473.0
,,,9.204.317.361.309,(5.554.100.230.263),836.979.482.973,13.862.179.485.385,3.647.060.468.558,440.007.852.073,9204317361309.0,-5554100230263.0,836979482973.0,13862179485385.0,3647060468558.0,440007852073.0
Các khoản loại trừ,01/01/2024 > Các khoản loại trừ,Các khoản loại trừ,-,-,(174.854.480.690),(1.809.414.958.682),(174.854.480.690),-,,,-174854480690.0,-1809414958682.0,-174854480690.0,
Tổng cộng,01/01/2024 > Tổng cộng,Tổng cộng,9.204.317.361.309,(5.554.100.230.263),662.125.002.283,12.052.764.526.703,3.472.205.987.868,440.007.852.073,9204317361309.0,-5554100230263.0,662125002283.0,12052764526703.0,3472205987868.0,440007852073.0
