row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,10.315.835.017.750,10.081.617.871.279,,1.0,25.0,10315835017750.0,10081617871279.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,72.569.612.724,60.382.607.080,,2.0,26.0,72569612724.0,60382607080.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,10.243.265.405.026,10.021.235.264.199,,10.0,,10243265405026.0,10021235264199.0
4.,4.,4.,Giá vốn hàng bán,11,27,6.759.246.728.248,6.670.392.634.780,,11.0,27.0,6759246728248.0,6670392634780.0
5.,5.,5.,Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,3.484.018.676.778,3.350.842.629.419,,20.0,,3484018676778.0,3350842629419.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,262.267.815.860,340.607.535.831,,21.0,28.0,262267815860.0,340607535831.0
7.,7.,7.,Chi phí tài chính,22,29,95.928.285.041,138.891.494.695,,22.0,29.0,95928285041.0,138891494695.0
,,,Trong đó: Chi phí lãi vay,23,,93.610.782.278,136.264.011.316,,23.0,,93610782278.0,136264011316.0
8.,8.,8.,Chi phí bán hàng,25,30.a,862.662.368.859,805.491.960.579,,25.0,,862662368859.0,805491960579.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30.b,240.538.806.846,391.346.215.563,,26.0,,240538806846.0,391346215563.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,2.547.157.031.892,2.355.720.494.413,,30.0,,2547157031892.0,2355720494413.0
11.,11.,11.,Thu nhập khác,31,31,99.430.695.134,93.995.949.879,,31.0,31.0,99430695134.0,93995949879.0
12.,12.,12.,Chi phí khác,32,32,1.397.239.452,2.868.560.251,,32.0,32.0,1397239452.0,2868560251.0
13.,13.,13.,Lợi nhuận khác,40,,98.033.455.682,91.127.389.628,,40.0,,98033455682.0,91127389628.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,2.645.190.487.574,2.446.847.884.041,,50.0,,2645190487574.0,2446847884041.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,33,268.520.138.404,263.301.665.333,,51.0,33.0,268520138404.0,263301665333.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,(23.903.362),80.943.261,,52.0,,-23903362.0,80943261.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,2.376.694.252.532,2.183.465.275.447,,60.0,,2376694252532.0,2183465275447.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,2.376.694.252.532,2.183.465.275.447,,61.0,,2376694252532.0,2183465275447.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,,,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,34,7.680,7.172,,70.0,34.0,7680.0,7172.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,34,7.680,7.172,,71.0,34.0,7680.0,7172.0
