row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.541.494.821.066,7.251.039.815.092,286.721.311.931,125.061.413.220,9.204.317.361.309,1541494821066.0,7251039815092.0,286721311931.0,125061413220.0,9204317361309.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,1.934.244.866,10.642.422.000,2.105.000.000,5.810.784.771,20.492.451.637,1934244866.0,10642422000.0,2105000000.0,5810784771.0,20492451637.0
Đ/tư XDCB h/thành,Nguyên giá > Đ/tư XDCB h/thành,Đ/tư XDCB h/thành,11.107.886.181,166.604.963.176,166.800.000,23.814.979.809,201.694.629.166,11107886181.0,166604963176.0,166800000.0,23814979809.0,201694629166.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,,,,,
"T/lý, nhượng bán","Tăng khác > T/lý, nhượng bán","T/lý, nhượng bán",5.787.260.499,39.711.104.158,90.909.091,156.341.818,45.745.615.566,5787260499.0,39711104158.0,90909091.0,156341818.0,45745615566.0
Số cuối năm,Tăng khác > Số cuối năm,Số cuối năm,1.548.749.691.614,7.388.576.096.110,288.902.202.840,154.530.835.982,9.380.758.826.546,1548749691614.0,7388576096110.0,288902202840.0,154530835982.0,9380758826546.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,1.060.425.426.088,4.188.878.006.858,205.565.253.883,99.231.543.434,5.554.100.230.263,1060425426088.0,4188878006858.0,205565253883.0,99231543434.0,5554100230263.0
Tăng trong năm,Khấu hao > Tăng trong năm,Tăng trong năm,86.082.883.032,330.600.867.164,11.917.878.229,7.455.042.567,436.056.670.992,86082883032.0,330600867164.0,11917878229.0,7455042567.0,436056670992.0
- Khấu hao,Khấu hao > - Khấu hao,- Khấu hao,86.065.571.365,330.579.651.399,11.917.878.229,7.131.247.003,435.694.347.996,86065571365.0,330579651399.0,11917878229.0,7131247003.0,435694347996.0
- Sử dụng Quỹ KH&CN,Khấu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,17.311.667,21.215.765,-,323.795.564,362.322.996,17311667.0,21215765.0,,323795564.0,362322996.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,,,,,
"T/lý, nhượng bán","- Tăng khác > T/lý, nhượng bán","T/lý, nhượng bán",4.322.724.779,39.252.288.938,90.909.091,156.341.818,43.822.264.626,4322724779.0,39252288938.0,90909091.0,156341818.0,43822264626.0
Số cuối năm,- Tăng khác > Số cuối năm,Số cuối năm,1.142.185.584.341,4.480.226.585.084,217.392.223.021,106.530.244.183,5.946.334.636.629,1142185584341.0,4480226585084.0,217392223021.0,106530244183.0,5946334636629.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,481.069.394.978,3.062.161.808.234,81.156.058.048,25.829.869.786,3.650.217.131.046,481069394978.0,3062161808234.0,81156058048.0,25829869786.0,3650217131046.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,406.564.107.273,2.908.349.511.026,71.509.979.819,48.000.591.799,3.434.424.189.917,406564107273.0,2908349511026.0,71509979819.0,48000591799.0,3434424189917.0
