row_label_raw,row_label_full,Công ty TNHH Asia Packing Industries Việt Nam,31/12/2024 > 8.185.218.716,01/01/2024 > 5.906.133.045,numeric__31/12/2024 > 8.185.218.716,numeric__01/01/2024 > 5.906.133.045
Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,2.642.149.614,4.928.606.906,2642149614.0,4928606906.0
Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,5.572.452.889,5.706.568.560,5572452889.0,5706568560.0
Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,8.047.212.403,6.555.291.001,8047212403.0,6555291001.0
Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,13.906.792.202,13.550.135.298,13906792202.0,13550135298.0
Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,15.011.053.000,15.115.698.000,15011053000.0,15115698000.0
Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,12.354.263.927,7.035.765.913,12354263927.0,7035765913.0
Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,3.419.533.368,5.518.008.036,3419533368.0,5518008036.0
Công ty CP TKL,Công ty CP TKL,Công ty CP TKL,29.823.177.435,16.982.015.339,29823177435.0,16982015339.0
Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,2.030.664.600,2.046.423.620,2030664600.0,2046423620.0
Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,95.578.355.678,95.578.355.678,95578355678.0,95578355678.0
Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,833.924.809,2.594.162.633,833924809.0,2594162633.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,266.690.270.290,274.802.644.713,266690270290.0,274802644713.0
Cộng,Cộng,Cộng,464.095.068.931,456.319.808.742,464095068931.0,456319808742.0
