row_label_raw,row_label_full,Sản xuất đường;
Chế biến sữa đậu nành và các sản phẩm từ sữa đậu nành;,Chế biến sữa đậu nành và các sản phẩm từ sữa đậu nành;,Chế biến sữa đậu nành và các sản phẩm từ sữa đậu nành;
Sản xuất bia và mạch nha ù men bia;,Sản xuất bia và mạch nha ù men bia;,Sản xuất bia và mạch nha ù men bia;
"Sản xuất nước khoáng, nước ngọt các loại;","Sản xuất nước khoáng, nước ngọt các loại;","Sản xuất nước khoáng, nước ngọt các loại;"
"Sản xuất ca cao, sốcôla và bánh kẹo;","Sản xuất ca cao, sốcôla và bánh kẹo;","Sản xuất ca cao, sốcôla và bánh kẹo;"
Sản xuất các loại bánh từ bột;,Sản xuất các loại bánh từ bột;,Sản xuất các loại bánh từ bột;
Sản xuất điện;,Sản xuất điện;,Sản xuất điện;
"Kinh doanh bia, đồ uống;","Kinh doanh bia, đồ uống;","Kinh doanh bia, đồ uống;"
"Kinh doanh đường, mật, sữa, bánh kẹo; Kinh doanh Xirô glucoza, Xirô mantoza;","Kinh doanh đường, mật, sữa, bánh kẹo; Kinh doanh Xirô glucoza, Xirô mantoza;","Kinh doanh đường, mật, sữa, bánh kẹo; Kinh doanh Xirô glucoza, Xirô mantoza;"
Nhân và chăm sóc cây mía giống; Nhân và chăm sóc cây đậu nành giống;,Nhân và chăm sóc cây mía giống; Nhân và chăm sóc cây đậu nành giống;,Nhân và chăm sóc cây mía giống; Nhân và chăm sóc cây đậu nành giống;
Trồng mía;,Trồng mía;,Trồng mía;
Gia công cơ khí; xử lý và tráng phù kim loại: Gia công chế tạo các sản phẩm cơ khí phục vụ các ngành sản xuất và dân dụng;,Gia công cơ khí; xử lý và tráng phù kim loại: Gia công chế tạo các sản phẩm cơ khí phục vụ các ngành sản xuất và dân dụng;,Gia công cơ khí; xử lý và tráng phù kim loại: Gia công chế tạo các sản phẩm cơ khí phục vụ các ngành sản xuất và dân dụng;
Khai thác nước khoáng;,Khai thác nước khoáng;,Khai thác nước khoáng;
Thoát nước và xử lý nước thải;,Thoát nước và xử lý nước thải;,Thoát nước và xử lý nước thải;
"San ủi, làm đất, cày đất, làm đường kênh mương nội đồng và giao thông vùng nguyên liệu mía;","San ủi, làm đất, cày đất, làm đường kênh mương nội đồng và giao thông vùng nguyên liệu mía;","San ủi, làm đất, cày đất, làm đường kênh mương nội đồng và giao thông vùng nguyên liệu mía;"
Hoạt động dịch vụ sau thu hoạch.,Hoạt động dịch vụ sau thu hoạch.,Hoạt động dịch vụ sau thu hoạch.
