row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm 2024 VND,Năm 2023 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm 2024 VND,numeric__Năm 2023 VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,2.645.190.487.574,2.446.847.884.041,,1.0,2645190487574.0,2446847884041.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
-,2. > -,-,Khấu hao Tài sản cố định và phân bổ tiền thuê đất,02,443.728.016.028,445.442.805.149,,2.0,443728016028.0,445442805149.0
-,2. > -,-,Các khoản dự phòng,03,(1.737.699.666),3.327.627.630,,3.0,-1737699666.0,3327627630.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ",04,230.712.508,321.055.146,,4.0,230712508.0,321055146.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,(233.722.954.009),(311.142.845.270),,5.0,-233722954009.0,-311142845270.0
-,2. > -,-,Chi phí lãi vay,06,93.610.782.278,136.264.011.316,,6.0,93610782278.0,136264011316.0
-,2. > -,-,Các khoản điều chỉnh khác,07,-,150.000.000.000,,7.0,,150000000000.0
3.,2. > 3.,3.,Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,08,2.947.299.344.713,2.871.060.538.012,,8.0,2947299344713.0,2871060538012.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,(164.082.381.874),(63.960.851.173),,9.0,-164082381874.0,-63960851173.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,(362.430.971.815),(12.705.219.283),,10.0,-362430971815.0,-12705219283.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,22.756.441.319,(6.873.449.313),,11.0,22756441319.0,-6873449313.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,(35.730.116.068),21.261.649.770,,12.0,-35730116068.0,21261649770.0
-,2. > -,-,Tiền lãi vay đã trả,14,(93.836.988.403),(136.605.687.173),,14.0,-93836988403.0,-136605687173.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,(257.533.155.111),(245.637.015.090),,15.0,-257533155111.0,-245637015090.0
-,2. > -,-,Tiền chi khác từ hoạt động kinh doanh,17,(23.836.447.952),(18.418.446.194),,17.0,-23836447952.0,-18418446194.0
-,2. > -,-,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.032.605.724.809,2.408.121.519.556,,20.0,2032605724809.0,2408121519556.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
