row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Giao dịch,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Các bên liên quan,Các bên liên quan,Các bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2023VND,Ngày 31 tháng 12năm 2022VND,,,
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,"Số dư tiền gửi thanh toán,ký quỹ",190.436.549.395,189.533.482.457,,190436549395.0,189533482457.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư tiền gửi có kỳ hạnvà lãi dự thu,8.673.259.003.195,11.852.373.876.704,,8673259003195.0,11852373876704.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư các khoản vay,170.000.000.000,-,,170000000000.0,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư trái phiếu,50.325.953.400,-,,50325953400.0,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư các hợp đồngmua bán lại trái phiếuChính phủ,(10.085.427.714.806),(10.657.990.970.144),,-10085427714806.0,-10657990970144.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,"Phải thu phí CNTT, dịchvụ đào tạo",299.655.766,292.981.470,,299655766.0,292981470.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,"Phải trả tiền đặt cọc thuêvăn phòng, trả trước tiệnthuế văn phòng",(419.139.600),(44.748.000),,-419139600.0,-44748000.0
