row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Giá trị ghi sổ > Nguyên giá,Giá trị ghi sổ > Dự phòng giảm giá trị,Giá trị ghi sổ > Giá trị thuần,Đơn vị: triệu VND > Giá trị hợp lý,numeric__Giá trị ghi sổ > Nguyên giá,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị,numeric__Giá trị ghi sổ > Giá trị thuần,numeric__Đơn vị: triệu VND > Giá trị hợp lý
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,195.435.521,(1.467.352),193.968.169,213.468.645,195435521.0,-1467352.0,193968169.0,213468645.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,113.058.634,(442.600),112.616.034,116.534.499,113058634.0,-442600.0,112616034.0,116534499.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,82.376.887,(1.024.752),81.352.135,96.934.146,82376887.0,-1024752.0,81352135.0,96934146.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.266.851,(206.057),3.060.794,4.694.653,3266851.0,-206057.0,3060794.0,4694653.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,2.461.010,(159.441),2.301.569,3.714.044,2461010.0,-159441.0,2301569.0,3714044.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,78.890,(46.140),32.750,32.980,78890.0,-46140.0,32750.0,32980.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,284.365,(476),283.889,505.004,284365.0,-476.0,283889.0,505004.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,442.586,-,442.586,442.625,442586.0,,442586.0,442625.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,970.836,(91.181),879.655,1.462.206,970836.0,-91181.0,879655.0,1462206.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,7.572.530,(69.086),7.503.444,7.503.444,7572530.0,-69086.0,7503444.0,7503444.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,845.112,(116.235),728.877,783.257,845112.0,-116235.0,728877.0,783257.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,588.739,(9.746),578.993,579.163,588739.0,-9746.0,578993.0,579163.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.001.858,-,3.001.858,3.001.858,3001858.0,,3001858.0,3001858.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,142.560,(71.223),71.337,71.337,142560.0,-71223.0,71337.0,71337.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",87.893,-,87.893,87.893,87893.0,,87893.0,87893.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,19.843,-,19.843,19.843,19843.0,,19843.0,19843.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,34.824,(71.223),(36.399),(36.399),34824.0,-71223.0,-36399.0,-36399.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.783.514,-,4.783.514,4.783.514,4783514.0,,4783514.0,4783514.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,216.607.521,(2.030.880),214.576.641,236.348.077,216607521.0,-2030880.0,214576641.0,236348077.0
