row_label_raw,row_label_full,col_0,Bảo hiểmphi nhân thọVND,numeric__Bảo hiểmphi nhân thọVND
Số đầu năm,Số đầu năm,Số đầu năm,328.264.098.843,328264098843.0
Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,692.836.636.666,692836636666.0
Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,Thu hoa hồng nhượng tái bảo hiểm - Phân bổ vào doanh thu trong năm,(702.272.217.123),-702272217123.0
Số cuối năm,Số cuối năm,Số cuối năm,318.828.518.386,318828518386.0
