row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023VND,Ngày 31 tháng 12năm 2022VND,numeric__Ngày 31 tháng 12năm 2023VND,numeric__Ngày 31 tháng 12năm 2022VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm gốc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,529.434.854.742,579.953.288.609,529434854742.0,579953288609.0
Phải thu hoạt động nhận tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tái bảo hiểm,Phải thu hoạt động nhận tái bảo hiểm,91.447.807.142,53.645.582.352,91447807142.0,53645582352.0
Phải thu hoạt động nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tái bảo hiểm,Phải thu hoạt động nhượng tái bảo hiểm,497.291.043.736,325.172.459.563,497291043736.0,325172459563.0
Phải thu khác nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác nhượng tái bảo hiểm,Phải thu khác nhượng tái bảo hiểm,79.457.707.495,123.387.564.796,79457707495.0,123387564796.0
Phải thu liên quan đến đồng bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến đồng bảo hiểm,Phải thu liên quan đến đồng bảo hiểm,227.057.754.206,157.403.445.422,227057754206.0,157403445422.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,9.161.964.528,5.565.170.727,9161964528.0,5565170727.0
,,,1.433.851.131.849,1.245.127.511.469,1433851131849.0,1245127511469.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,19.843.062.565,7.045.417.400,19843062565.0,7045417400.0
Phải thu lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,4.670.150.030.878,3.278.166.338.945,4670150030878.0,3278166338945.0
Phải thu lãi trái phiếu,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi trái phiếu,Phải thu lãi trái phiếu,2.313.936.138.641,1.744.116.275.721,2313936138641.0,1744116275721.0
Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu về hoạt động đầu tư tài chính > Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,497.955.798.141,418.002.293.718,497955798141.0,418002293718.0
Phải thu đầu tư khác,Phải thu về hoạt động đầu tư tài chính > Phải thu đầu tư khác,Phải thu đầu tư khác,5.860.534.468,11.142.826.810,5860534468.0,11142826810.0
,,,7.507.745.564.693,5.458.473.152.594,7507745564693.0,5458473152594.0
Trà trước cho người bán ngắn hạn,Phải thu về hoạt động đầu tư tài chính > Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,48.615.471.980,35.077.502.602,48615471980.0,35077502602.0
