row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2023 VND,Ngày 31 tháng 12 năm 2022 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2023 VND,numeric__Ngày 31 tháng 12 năm 2022 VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.1,,,141.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,2.461.009.928.154,2.394.116.146.623,,2461009928154.0,2394116146623.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,78.889.952.616,78.882.158.236,,78889952616.0,78882158236.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,284.364.612.640,265.378.643.360,,284364612640.0,265378643360.0
Trái phiếu,Trái phiếu,Trái phiếu,,442.586.048.464,186.928.440.781,,442586048464.0,186928440781.0
,,,,3.266.850.541.874,2.925.305.389.000,,3266850541874.0,2925305389000.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(206.056.858.118),(300.020.787.914),,-206056858118.0,-300020787914.0
,,,,3.060.793.683.756,2.625.284.601.086,,3060793683756.0,2625284601086.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,14.2,,,142.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,98.504.995.982.976,99.782.401.807.201,,98504995982976.0,99782401807201.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,94.682.196.419.640,95.532.531.601.223,,94682196419640.0,95532531601223.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,-,1.185.000.000.000,,,1185000000000.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,3.822.799.563.336,3.064.870.205.978,,3822799563336.0,3064870205978.0
Dài hạn,Dài hạn,Dài hạn,,92.307.217.397.763,77.711.345.406.028,,92307217397763.0,77711345406028.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,13.269.018.409.164,16.252.431.774.720,,13269018409164.0,16252431774720.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,79.038.198.988.599,61.458.913.631.308,,79038198988599.0,61458913631308.0
,,,,190.812.213.380.739,177.493.747.213.229,,190812213380739.0,177493747213229.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,14.3,,,143.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",14.3.1,2.844.300.042.626,2.797.034.026.188,1431.0,2844300042626.0,2797034026188.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.3.2,1.140.403.742.807,1.188.860.741.950,1432.0,1140403742807.0,1188860741950.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,(91.181.033.263),(59.664.432.269),,-91181033263.0,-59664432269.0
,,,,3.893.522.752.170,3.926.230.335.869,,3893522752170.0,3926230335869.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,197.766.529.816.665,184.045.262.150.184,,197766529816665.0,184045262150184.0
