row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022
01,01,01,Doanh thu phí bảo hiểm (01 = 02 + 03 + 04),,42.659.877.832.211,42.650.508.302.256,,,42659877832211.0,42650508302256.0
02,02,02,Phí bảo hiểm gốc,26.1,42.637.147.155.713,42.961.317.756.207,,261.0,42637147155713.0,42961317756207.0
03,03,03,Phí nhận tái bảo hiểm,26.2,214.862.851.415,159.740.171.429,,262.0,214862851415.0,159740171429.0
04,04,04,Tăng dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tái bảo hiểm,24,(192.132.174.917),(470.549.625.380),,24.0,-192132174917.0,-470549625380.0
05,05,05,Phí nhượng tái bảo hiểm (05 = 06 + 07),,(3.316.257.547.166),(2.742.934.498.467),,,-3316257547166.0,-2742934498467.0
06,06,06,Tổng phí nhượng tái bảo hiểm,27,(3.463.319.868.456),(3.274.165.118.698),,27.0,-3463319868456.0,-3274165118698.0
07,07,07,Tăng dự phòng phí nhượng tái bảo hiểm,24,147.062.321.290,531.230.620.231,,24.0,147062321290.0,531230620231.0
08,08,08,Doanh thu phí bảo hiểm thuần (08 = 01 + 05),,39.343.620.285.045,39.907.573.803.789,,,39343620285045.0,39907573803789.0
09,09,09,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,,736.859.900.508,780.673.271.138,,,736859900508.0,780673271138.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm (15 = 08 + 09),,40.080.480.185.553,40.688.247.074.927,,,40080480185553.0,40688247074927.0
16,16,16,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,28.1,(19.601.479.750.808),(15.387.989.683.866),,281.0,-19601479750808.0,-15387989683866.0
17,17,17,Chi bồi thường nhận tái bảo hiểm,28.2,(81.416.894.451),(125.022.897.717),,282.0,-81416894451.0,-125022897717.0
18,18,18,Các khoản giảm trừ chi phí (18 = 19 + 20),,1.246.830.940,2.983.805.597,,,1246830940.0,2983805597.0
19,19,19,Thu đời người thứ ba,,783.286.743,1.798.198.571,,,783286743.0,1798198571.0
20,20,20,Thu xử lý hàng bồi thường 100%,,463.544.197,1.185.607.026,,,463544197.0,1185607026.0
21,21,21,Thu bồi thường nhượng tái bảo hiểm,28.3,1.273.429.764.859,899.565.138.864,,283.0,1273429764859.0,899565138864.0
22,22,22,Tăng dự phòng nghiệp vụ bảo hiểm gốc (22 = 23 + 24 + 25 + 26),24,(20.007.939.925.509),(21.527.866.247.523),,24.0,-20007939925509.0,-21527866247523.0
23,23,23,Tăng dự phòng toán học,,(13.448.587.876.848),(17.184.723.982.124),,,-13448587876848.0,-17184723982124.0
24,24,24,Tăng dự phòng lãi cam kết đầu tư tối thiểu,,(6.134.070.235.859),(3.837.424.516.996),,,-6134070235859.0,-3837424516996.0
25,25,25,Tăng dự phòng chia lãi,,(424.280.498.445),(412.164.790.238),,,-424280498445.0,-412164790238.0
26,26,26,Tăng dự phòng đảm bảo cân đối,,(1.001.314.357),(93.552.958.165),,,-1001314357.0,-93552958165.0
27,27,27,Giảm/(Tăng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,24,81.204.123.063,(309.157.849.665),,24.0,81204123063.0,-309157849665.0
28,28,28,(Giảm)/Tăng dự phòng bồi thường nhượng tái bảo hiểm,24,(95.034.988.630),270.729.003.638,,24.0,-95034988630.0,270729003638.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm (29 = 16 + 17 + 18 + 21 + 22 + 27 + 28),,(38.429.990.840.536),(36.176.758.730.672),,,-38429990840536.0,-36176758730672.0
30,30,30,(Tăng)/Giảm dự phòng dao động lớn,24,(109.099.422.257),28.293.816.250,,24.0,-109099422257.0,28293816250.0
