row_label_raw,row_label_full,col_0,Dự phòng toán học VND,Dự phòng phí chưa được hưởng VND,Dự phòng bồi thường VND,Dự phòng chia lãi VND,Dự phòng lãi cam kết đầu tư tối thiểu VND,Dự phòng bảo đảm cân đối VND,Dự phòng dao động lớn VND,Tổng cộng VND,numeric__Dự phòng toán học VND,numeric__Dự phòng phí chưa được hưởng VND,numeric__Dự phòng bồi thường VND,numeric__Dự phòng chia lãi VND,numeric__Dự phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dự phòng bảo đảm cân đối VND,numeric__Dự phòng dao động lớn VND,numeric__Tổng cộng VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2022,Bảo hiểm nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,129.250.711.878.958,230.640.166.823,89.592.053.817,2.569.603.536.235,7.525.759.826.659,129.659.979.186,-,139.795.967.441.678,129250711878958.0,230640166823.0,89592053817.0,2569603536235.0,7525759826659.0,129659979186.0,,139795967441678.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,13.448.587.876.848,(576.212.530),7.728.437.471,424.280.498.445,6.134.070.235.859,13.890.426.164,-,20.027.981.262.257,13448587876848.0,-576212530.0,7728437471.0,424280498445.0,6134070235859.0,13890426164.0,,20027981262257.0
Ngày 31/12/2023,Bảo hiểm nhân thọ > Ngày 31/12/2023,Ngày 31/12/2023,142.699.299.755.806,230.063.954.293,97.320.491.288,2.993.884.034.680,13.659.830.062.518,143.550.405.350,-,159.823.948.703.935,142699299755806.0,230063954293.0,97320491288.0,2993884034680.0,13659830062518.0,143550405350.0,,159823948703935.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Ngày 31/12/2022,Bảo hiểm phi nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,-,4.878.979.216.121,2.624.119.080.585,-,-,171.193.805.517,26.342.280.112,7.700.634.382.335,,4878979216121.0,2624119080585.0,,,171193805517.0,26342280112.0,7700634382335.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,192.708.387.447,(88.932.560.534),-,-,(12.889.111.807),109.099.422.257,199.986.137.363,,192708387447.0,-88932560534.0,,,-12889111807.0,109099422257.0,199986137363.0
Ngày 31/12/2023,Bảo hiểm phi nhân thọ > Ngày 31/12/2023,Ngày 31/12/2023,-,5.071.687.603.568,2.535.186.520.051,-,-,158.304.693.710,135.441.702.369,7.900.620.519.698,,5071687603568.0,2535186520051.0,,,158304693710.0,135441702369.0,7900620519698.0
Ngày 31/12/2022,Bảo hiểm phi nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,129.250.711.878.958,5.109.619.382.944,2.713.711.134.402,2.569.603.536.235,7.525.759.826.659,300.853.784.703,26.342.280.112,147.496.601.824.013,129250711878958.0,5109619382944.0,2713711134402.0,2569603536235.0,7525759826659.0,300853784703.0,26342280112.0,147496601824013.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,13.448.587.876.848,192.132.174.917,(81.204.123.063),424.280.498.445,6.134.070.235.859,1.001.314.357,109.099.422.257,20.227.967.399.620,13448587876848.0,192132174917.0,-81204123063.0,424280498445.0,6134070235859.0,1001314357.0,109099422257.0,20227967399620.0
Ngày 31/12/2023,Bảo hiểm phi nhân thọ > Ngày 31/12/2023,Ngày 31/12/2023,142.699.299.755.806,5.301.751.557.861,2.632.507.011.339,2.993.884.034.680,13.659.830.062.518,301.855.099.060,135.441.702.369,167.724.569.223.633,142699299755806.0,5301751557861.0,2632507011339.0,2993884034680.0,13659830062518.0,301855099060.0,135441702369.0,167724569223633.0
Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,,,,,,,,
,,,,,,Dự phòng bảo hiểm gốc và nhận tái VND,Dự phòng nhượng tái bảo hiểm (tài sản tái bảo hiểm) VND,Dự phòng bảo hiểm thuần VND,,,,,,,,,,
Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,,,,,,,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2022 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,,,,4.878.979.216.121,(1.563.289.264.476),,3.315.689.951.645,,,,,4878979216121.0,-1563289264476.0,,3315689951645.0,
Dự phòng bồi thường,Ngày 31/12/2022 > Dự phòng bồi thường,Dự phòng bồi thường,,,,2.624.119.080.585,(1.386.541.330.416),,1.237.577.750.169,,,,,2624119080585.0,-1386541330416.0,,1237577750169.0,
Dự phòng dao động lớn,Ngày 31/12/2022 > Dự phòng dao động lớn,Dự phòng dao động lớn,,,,26.342.280.112,-,,26.342.280.112,,,,,26342280112.0,,,26342280112.0,
Dự phòng bảo đảm cân đối,Ngày 31/12/2022 > Dự phòng bảo đảm cân đối,Dự phòng bảo đảm cân đối,,,,171.193.805.517,-,,171.193.805.517,,,,,171193805517.0,,,171193805517.0,
TỔNG CỘNG,Ngày 31/12/2022 > TỔNG CỘNG,TỔNG CỘNG,,,,7.700.634.382.335,(2.949.830.594.892),,4.750.803.787.443,,,,,7700634382335.0,-2949830594892.0,,4750803787443.0,
Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,,,,,,,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2023 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,,,,5.071.687.603.568,(1.710.351.585.766),,3.361.336.017.802,,,,,5071687603568.0,-1710351585766.0,,3361336017802.0,
Dự phòng bồi thường,Ngày 31/12/2023 > Dự phòng bồi thường,Dự phòng bồi thường,,,,2.535.186.520.051,(1.291.506.341.786),,1.243.680.178.265,,,,,2535186520051.0,-1291506341786.0,,1243680178265.0,
Dự phòng dao động lớn,Ngày 31/12/2023 > Dự phòng dao động lớn,Dự phòng dao động lớn,,,,135.441.702.369,-,,135.441.702.369,,,,,135441702369.0,,,135441702369.0,
Dự phòng bảo đảm cân đối,Ngày 31/12/2023 > Dự phòng bảo đảm cân đối,Dự phòng bảo đảm cân đối,,,,158.304.693.710,-,,158.304.693.710,,,,,158304693710.0,,,158304693710.0,
TỔNG CỘNG,Ngày 31/12/2023 > TỔNG CỘNG,TỔNG CỘNG,,,,7.900.620.519.698,(3.001.857.927.552),,4.898.762.592.146,,,,,7900620519698.0,-3001857927552.0,,4898762592146.0,
