row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2023 > Giá gốc,Ngày 31 tháng 12 năm 2023 > Giá trị ghi số(sau khi trích lập dự phòng),Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2023 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,265.979.803.260,265.979.803.260,265.979.803.260,236.570.824.000,265979803260.0,265979803260.0,265979803260.0,236570824000.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,385.553.148.914,375.383.021.926,390.739.014.890,345.295.404.034,385553148914.0,375383021926.0,390739014890.0,345295404034.0
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,415.458.222.493,339.448.019.227,418.000.346.236,382.555.004.400,415458222493.0,339448019227.0,418000346236.0,382555004400.0
Tổng Công ty Điện lực Dầu khí Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,-,-,243.515.713.202,243.253.109.838,,,243515713202.0,243253109838.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,1.394.018.753.487,1.320.758.327.341,1.075.881.269.035,933.452.387.937,1394018753487.0,1320758327341.0,1075881269035.0,933452387937.0
,,,2.461.009.928.154,2.301.569.171.754,2.394.116.146.623,2.141.126.730.209,2461009928154.0,2301569171754.0,2394116146623.0,2141126730209.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
Tổng Công ty MBLand,Cổ phiếu chưa niêm yết > Tổng Công ty MBLand,Tổng Công ty MBLand,28.800.000.000,8.016.000.000,28.800.000.000,8.016.000.000,28800000000.0,8016000000.0,28800000000.0,8016000000.0
Công ty Cổ phần Thủy sản Cà Mau,Cổ phiếu chưa niêm yết > Công ty Cổ phần Thủy sản Cà Mau,Công ty Cổ phần Thủy sản Cà Mau,24.000.000.000,15.398.175.000,24.000.000.000,19.324.500.000,24000000000.0,15398175000.0,24000000000.0,19324500000.0
