row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Chênh lệchtỷ giá hối đoaiVND,Quỹ đầu tưphát triển vàdự phòng tài chínhVND,Quỹ khác thuộcvốn chủ sở hữuVND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữ bắtbuộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giá hối đoaiVND,numeric__Quỹ đầu tưphát triển vàdự phòng tài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữuVND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữ bắtbuộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,7.423.227.640.000,7.310.458.742.807,15.445.192.000,1.284.786.140.295,103.568.802.818,4.480.031.128.008(2.246.342.913.736),577.618.921.373,836.184.565.455,22.031.321.132.756(2.246.342.913.736),7423227640000.0,7310458742807.0,15445192000.0,1284786140295.0,103568802818.0,,577618921373.0,836184565455.0,
Chi trả cổ tức cho cổ đông,Chi trả cổ tức cho cổ đông,Chi trả cổ tức cho cổ đông,-,-,-,-,-,(105.591.465.615),-,(5.025.826.998),(110.617.292.613),,,,,,-105591465615.0,,-5025826998.0,-110617292613.0
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(36.586.014.124),-,-,(36.586.014.124),,,,,,-36586014124.0,,,-36586014124.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(69.005.451.491),-,(5.025.826.998),(74.031.278.489),,,,,,-69005451491.0,,-5025826998.0,-74031278489.0
Của các công ty conTrích lập quỹ đầu tư pháttriển,Của các công ty conTrích lập quỹ đầu tư pháttriển,Của các công ty conTrích lập quỹ đầu tư pháttriển,-,-,-,309.168.928.127,-,(309.168.928.127),-,-,-,,,,309168928127.0,,-309168928127.0,,,
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,309.168.928.127,-,(309.168.928.127),-,-,-,,,,309168928127.0,,-309168928127.0,,,
Lợi nhuận tầng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty con,Lợi nhuận tầng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty con,Lợi nhuận tầng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty con,-,-,-,-,-,1.550.994.189.019,-,74.612.191.366,1.625.606.380.385,,,,,,1550994189019.0,,74612191366.0,1625606380385.0
Trích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soát,Trích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soát,Trích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soát,-,-,-,-,-,(1.150.000.000),-,-,(1.150.000.000),,,,,,-1150000000.0,,,-1150000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(1.073.000.000),-,(61.039.795.670),61.039.795.670,-,-,,,,-1073000000.0,,-61039795670.0,61039795670.0,,
,,,,,,,,,,(24.738.438.132),(24.738.438.132),,,,,,,,-24738438132.0,-24738438132.0
,,,,,,,,,,(497.015.726),(3.121.263.698),,,,,,,,-497015726.0,-3121263698.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,7.423.227.640.000,7.310.458.742.807,15.445.192.000,1.592.882.068.422,103.568.802.818,3.306.180.965.907,638.658.717.043,880.535.475.965,21.270.957.604.962,7423227640000.0,7310458742807.0,15445192000.0,1592882068422.0,103568802818.0,3306180965907.0,638658717043.0,880535475965.0,21270957604962.0
