row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,2.236.298.700.174,2.010.163.563.631,2236298700174.0,2010163563631.0
Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,
- Hoa hồng dự trả ước tính năm nay,Các khoản điều chỉnh tăng > - Hoa hồng dự trả ước tính năm nay,- Hoa hồng dự trả ước tính năm nay,34.544.445.588,34.284.073.191,34544445588.0,34284073191.0
- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,Các khoản điều chỉnh tăng > - Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,24.203.041.102,19.818.693.075,24203041102.0,19818693075.0
- Chi phí không hợp lệ cho mục đích tính thuế,Các khoản điều chỉnh tăng > - Chi phí không hợp lệ cho mục đích tính thuế,- Chi phí không hợp lệ cho mục đích tính thuế,28.807.301.375,26.946.347.286,28807301375.0,26946347286.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(169.375.310.172),(123.646.234.921),-169375310172.0,-123646234921.0
- Hoàn nhập hoa hồng dự trả ước tính năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập hoa hồng dự trả ước tính năm trước,- Hoàn nhập hoa hồng dự trả ước tính năm trước,(34.284.073.191),(37.475.252.532),-34284073191.0,-37475252532.0
- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,Các khoản điều chỉnh giảm > - Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,(9.034.546.020),(24.211.395.151),-9034546020.0,-24211395151.0
- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,Các khoản điều chỉnh giảm > - Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,(1.548.894.530),(6.672.328.191),-1548894530.0,-6672328191.0
- Hoàn nhập chi phí chưa được khấu trừ năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập chi phí chưa được khấu trừ năm trước,- Hoàn nhập chi phí chưa được khấu trừ năm trước,(47.471.420.842),-,-47471420842.0,
