row_label_raw,row_label_full,Đơn vị,Thuế suất áp dụng,numeric__Thuế suất áp dụng
Bảo Việt - Âu Lạc,Bảo Việt - Âu Lạc,Bảo Việt - Âu Lạc,10%,0.1
Quỹ BVIF,Quỹ BVIF,Quỹ BVIF,Không thuộc đối tượng chịu thuế,
Công ty mẹ và các công ty con khác,Quỹ BVIF > Công ty mẹ và các công ty con khác,Công ty mẹ và các công ty con khác,20%,0.2
