row_label_raw,row_label_full,Thuế suất thuế TNDN sử dụng đề xác định giá trị thuế thu nhập hoãn lại phải trả,Ngày 31 tháng 12năm 2023VND > 20%,Ngày 31 tháng 12năm 2022VND > 20%,numeric__Ngày 31 tháng 12năm 2023VND > 20%,numeric__Ngày 31 tháng 12năm 2022VND > 20%
Các khoản chênh lệch tạm thời chịu thuế Trong đó:,Các khoản chênh lệch tạm thời chịu thuế Trong đó:,Các khoản chênh lệch tạm thời chịu thuế Trong đó:,9.028.949.816,24.203.041.102,9028949816.0,24203041102.0
- Lãi chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá cuối năm,9.028.949.816,24.203.041.102,9028949816.0,24203041102.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,1.805.789.963,4.840.608.220,1805789963.0,4840608220.0
