row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2023 > Giá gốc,Ngày 31 tháng 12 năm 2023 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2023 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),95.124.796.419.640,94.682.196.419.640,95.975.131.601.224,95.532.531.601.223,95124796419640.0,94682196419640.0,95975131601224.0,95532531601223.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,1.024.752.316.500,-,2.104.752.316.500,1.185.000.000.000,1024752316500.0,,2104752316500.0,1185000000000.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),1.024.752.316.500,-,1.224.752.316.500,305.000.000.000,1024752316500.0,,1224752316500.0,305000000000.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),-,-,880.000.000.000,880.000.000.000,,,880000000000.0,880000000000.0
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),3.822.799.563.336,3.822.799.563.336,3.064.870.205.978,3.064.870.205.978,3822799563336.0,3822799563336.0,3064870205978.0,3064870205978.0
,,,99.972.348.299.476,98.504.995.982.976,101.144.754.123.702,99.782.401.807.201,99972348299476.0,98504995982976.0,101144754123702.0,99782401807201.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),13.269.018.409.164,13.269.018.409.164,16.252.431.774.720,16.252.431.774.720,13269018409164.0,13269018409164.0,16252431774720.0,16252431774720.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),79.038.198.988.599,79.038.198.988.599,61.458.913.631.308,61.458.913.631.308,79038198988599.0,79038198988599.0,61458913631308.0,61458913631308.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,16.958.992.986.301,16.958.992.986.301,9.844.706.000.000,9.844.706.000.000,16958992986301.0,16958992986301.0,9844706000000.0,9844706000000.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,62.079.206.002.298,62.079.206.002.298,51.614.207.631.308,51.614.207.631.308,62079206002298.0,62079206002298.0,51614207631308.0,51614207631308.0
,,,92.307.217.397.763,92.307.217.397.763,77.711.345.406.028,77.711.345.406.028,92307217397763.0,92307217397763.0,77711345406028.0,77711345406028.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,192.279.565.697.239,190.812.213.380.739,178.856.099.529.730,177.493.747.213.229,192279565697239.0,190812213380739.0,178856099529730.0,177493747213229.0
