row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,2.208.586.722.051,2.122.150.520.903,2208586722051.0,2122150520903.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,9.742.224.406.762,6.377.670.530.912,9742224406762.0,6377670530912.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,2.753.118.427.044,2.482.692.066.306,2753118427044.0,2482692066306.0
,,,14.703.929.555.857,10.982.513.118.121,14703929555857.0,10982513118121.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,292.763.418.482,287.712.279.760,292763418482.0,287712279760.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,1.784.542.798.297,1.623.655.987.991,1784542798297.0,1623655987991.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,2.820.243.978.172,2.494.108.297.994,2820243978172.0,2494108297994.0
,,,4.897.550.194.951,4.405.476.565.745,4897550194951.0,4405476565745.0
TỔNG CỘNG,Bảo hiểm phi nhân thọ > TỔNG CỘNG,TỔNG CỘNG,19.601.479.750.808,15.387.989.683.866,19601479750808.0,15387989683866.0
