row_label_raw,row_label_full,CHỈ TIÊU,Ngày 31 tháng 12năm 2023,Ngày 31 tháng 12năm 2022,numeric__Ngày 31 tháng 12năm 2023,numeric__Ngày 31 tháng 12năm 2022
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),176.359.858.073,260.790.957.271,176359858073.0,260790957271.0
2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),132.178.081.950,7.436.521.813,132178081950.0,7436521813.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),1.365.625,1.707.004,1365625.0,1707004.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),26.873.541.429.900,25.271.310.319.708,26873541429900.0,25271310319708.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),1.237.613.480.000,2.611.081.930.000,1237613480000.0,2611081930000.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),1.093.321.737.987,1.267.793.500.411,1093321737987.0,1267793500411.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),1.061.028.300.000,212.969.822.198,1061028300000.0,212969822198.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),12.429.557.534,7.275.803.287,12429557534.0,7275803287.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(1.095.623.908.837),(1.012.089.973.350),-1095623908837.0,-1012089973350.0
"10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2.391.605.068.491,3.023.966.601.739,2391605068491.0,3023966601739.0
