row_label_raw,row_label_full,Đơn vị được đầu tư,Vốn góp của Tập đoàn,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2022,numeric__Vốn góp của Tập đoàn,numeric__Ngày 31 tháng 12 năm 2023,numeric__Ngày 31 tháng 12 năm 2022
Long Việt,Long Việt,Long Việt,29.269.440.000,27.310.933.325,30.606.794.778,29269440000.0,27310933325.0,30606794778.0
Tokio Marine Việt Nam,Tokio Marine Việt Nam,Tokio Marine Việt Nam,147.000.000.000,302.251.205.134,287.885.925.542,147000000000.0,302251205134.0,287885925542.0
Bảo Việt SCIC,Bảo Việt SCIC,Bảo Việt SCIC,70.000.000.000,72.767.163.574,72.834.290.687,70000000000.0,72767163574.0,72834290687.0
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,1.560.000.000.000,1.883.054.701.466,1.849.836.067.203,1560000000000.0,1883054701466.0,1849836067203.0
Trung Nam Phú Quốc,Trung Nam Phú Quốc,Trung Nam Phú Quốc,431.200.000.000,431.179.677.638,431.181.381.198,431200000000.0,431179677638.0,431181381198.0
PLT,PLT,PLT,97.650.000.000,127.736.361.489,124.689.566.780,97650000000.0,127736361489.0,124689566780.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.335.119.440.000,2.844.300.042.626,2.797.034.026.188,2335119440000.0,2844300042626.0,2797034026188.0
,,,,Năm 2023,Năm 2022,,,
Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,,2.797.034.026.188,3.088.258.326.242,,2797034026188.0,3088258326242.0
Bán trong năm,Bán trong năm,Bán trong năm,,-,(314.527.541.713),,,-314527541713.0
Cổ tức thu được,Cổ tức thu được,Cổ tức thu được,,(54.782.928.736),(63.148.466.506),,-54782928736.0,-63148466506.0
Lãi trong năm thuộc về Tập đoàn,Lãi trong năm thuộc về Tập đoàn,Lãi trong năm thuộc về Tập đoàn,,102.048.945.174,86.451.708.165,,102048945174.0,86451708165.0
Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,,2.844.300.042.626,2.797.034.026.188,,2844300042626.0,2797034026188.0
