row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản vàhoạt động khác,Các bút toánđiều chínhhợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản vàhoạt động khác,numeric__Các bút toánđiều chínhhợp nhất,numeric__Đơn vị: triệu đồngTổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.000.200,2.757.907,23.254,1.002.153,4.783.514,1000200.0,2757907.0,23254.0,1002153.0,4783514.0
Các khoản phải thu từ hoạt động tái bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái bảo hiểm,Các khoản phải thu từ hoạt động tái bảo hiểm,588.739,-,-,-,588.739,588739.0,,,,588739.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,845.112,-,-,-,845.112,845112.0,,,,845112.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.001.858,-,-,-,3.001.858,3001858.0,,,,3001858.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,7.681.950,1.361.791,54.830,(1.421.795),7.676.776,7681950.0,1361791.0,54830.0,-1421795.0,7676776.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,191.907.655,17.472.790,97.300,(11.711.215),197.766.530,191907655.0,17472790.0,97300.0,-11711215.0,197766530.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,3.234.935,-,15.729,3.250.664,,3234935.0,,15729.0,3250664.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,632.658,249.046,51.109,23.712,956.525,632658.0,249046.0,51109.0,23712.0,956525.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,593.252,251.085,14.640,-,858.977,593252.0,251085.0,14640.0,,858977.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,972.467,344.181,103.366,(47.107),1.372.907,972467.0,344181.0,103366.0,-47107.0,1372907.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,207.223.891,25.671.735,344.499,(12.138.523),221.101.602,207223891.0,25671735.0,344499.0,-12138523.0,221101602.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,27.021.869,3.995.095,49.366,(243.312),30.823.018,27021869.0,3995095.0,49366.0,-243312.0,30823018.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,168.000.000,30.463,18.657,(29.559),168.019.561,168000000.0,30463.0,18657.0,-29559.0,168019561.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,195.021.869,4.025.558,68.023,(272.871),198.842.579,195021869.0,4025558.0,68023.0,-272871.0,198842579.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,12.202.022,21.646.177,276.476,(11.865.652),22.259.023,12202022.0,21646177.0,276476.0,-11865652.0,22259023.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,207.223.891,25.671.735,344.499,(12.138.523),221.101.602,207223891.0,25671735.0,344499.0,-12138523.0,221101602.0
