row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31/12/2022,Nguyên giá: > Vào ngày 31/12/2022,Vào ngày 31/12/2022,758.296.631.434,797.330.353.434,4.669.321.739,1.560.296.306.607,758296631434.0,797330353434.0,4669321739.0,1560296306607.0
- Mua sắm,Nguyên giá: > - Mua sắm,- Mua sắm,-,19.924.337.600,484.525.000,20.408.862.600,,19924337600.0,484525000.0,20408862600.0
Vào ngày 31/12/2023,Nguyên giá: > Vào ngày 31/12/2023,Vào ngày 31/12/2023,758.296.631.434,817.254.691.034,5.153.846.739,1.580.705.169.207,758296631434.0,817254691034.0,5153846739.0,1580705169207.0
Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,Giá trị hao mòn luỹ kê:,,,,
Vào ngày 31/12/2022,Giá trị hao mòn luỹ kê: > Vào ngày 31/12/2022,Vào ngày 31/12/2022,117.175.311.420,534.449.440.721,4.366.547.546,655.991.299.687,117175311420.0,534449440721.0,4366547546.0,655991299687.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kê: > - Hao mòn trong năm,- Hao mòn trong năm,7.172.791.223,58.308.174.814,255.530.817,65.736.496.854,7172791223.0,58308174814.0,255530817.0,65736496854.0
Vào ngày 31/12/2023,Giá trị hao mòn luỹ kê: > Vào ngày 31/12/2023,Vào ngày 31/12/2023,124.348.102.643,592.757.615.535,4.622.078.363,721.727.796.541,124348102643.0,592757615535.0,4622078363.0,721727796541.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31/12/2022,Giá trị còn lại: > Vào ngày 31/12/2022,Vào ngày 31/12/2022,641.121.320.014,262.880.912.713,302.774.193,904.305.006.920,641121320014.0,262880912713.0,302774193.0,904305006920.0
Vào ngày 31/12/2023,Giá trị còn lại: > Vào ngày 31/12/2023,Vào ngày 31/12/2023,633.948.528.791,224.497.075.499,531.768.376,858.977.372.666,633948528791.0,224497075499.0,531768376.0,858977372666.0
