row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản vàhoạt động khác,Các bút toán điềuchính hợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản vàhoạt động khác,numeric__Các bút toán điềuchính hợp nhất,numeric__Đơn vị: triệu đồngTổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,42.653.836,-,-,(3.328),42.650.508,42653836.0,,,-3328.0,42650508.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(2.742.934),-,-,-,(2.742.934),-2742934.0,,,,-2742934.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,788.993,-,-,(8.320),780.673,788993.0,,,-8320.0,780673.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,40.699.895,-,-,(11.648),40.688.247,40699895.0,,,-11648.0,40688247.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(15.387.990),-,-,-,(15.387.990),-15387990.0,,,,-15387990.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,(125.023),-,-,-,(125.023),-125023.0,,,,-125023.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,2.984,-,-,-,2.984,2984.0,,,,2984.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,899.565,-,-,-,899.565,899565.0,,,,899565.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(21.527.866),-,-,-,(21.527.866),-21527866.0,,,,-21527866.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,(309.158),-,-,-,(309.158),-309158.0,,,,-309158.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,270.729,-,-,-,270.729,270729.0,,,,270729.0
Giảm dự phòng dao động lớn,Giảm dự phòng dao động lớn,Giảm dự phòng dao động lớn,28.294,-,-,-,28.294,28294.0,,,,28294.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(4.538.487),-,-,103.555,(4.434.932),-4538487.0,,,103555.0,-4434932.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(40.686.952),-,-,103.555,(40.583.397),-40686952.0,,,103555.0,-40583397.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,535.427,24.181,(540.679),18.929,,535427.0,24181.0,-540679.0,18929.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.282.107),-,-,202,(2.281.905),-2282107.0,,,202.0,-2281905.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(3.708.874),(645.932),(17.406),352.640,(4.019.572),-3708874.0,-645932.0,-17406.0,352640.0,-4019572.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,7.444.339,1.220.102,5.930,(588.247),8.082.124,7444339.0,1220102.0,5930.0,-588247.0,8082124.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,42.692,2.964,(99),(26.271),19.286,42692.0,2964.0,-99.0,-26271.0,19286.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,86.452,86.452,,,,86452.0,86452.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.508.993,1.112.561,12.606,(623.996),2.010.164,1508993.0,1112561.0,12606.0,-623996.0,2010164.0
