row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND
Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nhân công,Chi phí nhân công,2.356.123.095.746,2.118.922.530.359,2356123095746.0,2118922530359.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",155.944.362.735,163.499.984.398,155944362735.0,163499984398.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,59.447.696.649,63.974.199.193,59447696649.0,63974199193.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,29.710.696.326,27.386.443.629,29710696326.0,27386443629.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.065.339.733.528,546.244.502.013,1065339733528.0,546244502013.0
(Hoàn nhập)/Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > (Hoàn nhập)/Chi phí dự phòng,(Hoàn nhập)/Chi phí dự phòng,(42.051.542.260),7.007.035.328,-42051542260.0,7007035328.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khác,Chi phí khác,670.954.503.567,461.427.221.534,670954503567.0,461427221534.0
,,,4.295.468.546.291,3.388.461.916.454,4295468546291.0,3388461916454.0
Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nhân công,Chi phí nhân công,300.521.156.376,267.072.825.965,300521156376.0,267072825965.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,119.663.421.069,129.837.670.762,119663421069.0,129837670762.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,23.519.226.513,22.413.773.623,23519226513.0,22413773623.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,134.389.573.167,118.291.930.618,134389573167.0,118291930618.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dự phòng,Chi phí dự phòng,4.620.454.367,14.713.505.869,4620454367.0,14713505869.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khác,Chi phí khác,90.203.196.668,78.780.784.970,90203196668.0,78780784970.0
,,,672.917.028.160,631.110.491.807,672917028160.0,631110491807.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > TỔNG CỘNG,TỔNG CỘNG,4.968.385.574.451,4.019.572.408.261,4968385574451.0,4019572408261.0
