row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế,,2.236.298.700.174,2.010.163.563.631,,,2236298700174.0,2010163563631.0
01,01,01,Điều chỉnh cho các khoản,,8.373.897.139.075,13.539.093.296.433,,,8373897139075.0,13539093296433.0
02,02,02,- Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình,"10, 11",203.390.740.109,211.803.973.840,,,203390740109.0,211803973840.0
03,03,03,- Các khoản dự phòng,,20.001.631.625.093,22.567.116.332.600,,,20001631625093.0,22567116332600.0
04,04,04,- Lãi chênh lệch tỉ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,16.099.743.627,16.219.103.087,,,16099743627.0,16219103087.0
05,05,05,- Lãi từ hoạt động đầu tư,,(13.624.967.435.230),(9.987.399.223.459),,,-13624967435230.0,-9987399223459.0
06,06,06,"- Chi phí repo, lãi vay",,1.777.742.465.476,732.426.110.365,,,1777742465476.0,732426110365.0
07,07,07,- Các khoản điều chỉnh khác,,-,(1.073.000.000),,,,-1073000000.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,10.610.195.839.249,15.549.256.860.064,,,10610195839249.0,15549256860064.0
09,09,09,Giảm/(Tăng) các khoản phải thu,,1.705.439.520.294,(4.346.443.102.143),,,1705439520294.0,-4346443102143.0
10,10,10,Giảm hàng tồn kho,,17.342.286.190,10.995.923.821,,,17342286190.0,10995923821.0
11,11,11,"Giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(1.175.877.607.268),(133.150.830.544),,,-1175877607268.0,-133150830544.0
12,12,12,- Tăng chi phí trả trước (bao gồm tài sản tải bảo hiểm),,(131.677.740.983),(665.529.008.941),,,-131677740983.0,-665529008941.0
13,13,13,- Tăng chứng khoán kinh doanh,,(341.545.152.874),(82.855.958.817),,,-341545152874.0,-82855958817.0
14,14,14,- Tiền lãi vay đã trả,,(1.787.160.299.314),(688.972.800.896),,,-1787160299314.0,-688972800896.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,16,(360.202.939.230),(426.509.931.095),,16.0,-360202939230.0,-426509931095.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(59.665.233.670),(115.074.831.227),,,-59665233670.0,-115074831227.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,8.476.848.672.394,9.101.716.320.222,,,8476848672394.0,9101716320222.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(179.223.609.626),(163.378.387.443),,,-179223609626.0,-163378387443.0
22,22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1.056.681.274,2.489.490.635,,,1056681274.0,2489490635.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(163.901.811.301.317),(157.948.793.058.181),,,-163901811301317.0,-157948793058181.0
24,24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,147.964.399.043.822,128.988.459.811.387,,,147964399043822.0,128988459811387.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(559.065.379),(250.000.000),,,-559065379.0,-250000000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,6.559.843.455,,,,6559843455.0
27,27,27,"Tiền thu lãi cho vay, cổ tức, lợi nhuận được chia và lãi bán các khoản đầu tư nắm giữ đến ngày đáo hạn",,11.552.755.197.497,8.370.940.521.353,,,11552755197497.0,8370940521353.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(4.563.383.053.729),(20.743.971.778.794),,,-4563383053729.0,-20743971778794.0
